简体	越南
冰蝶	Băng Điệp
孤丝	Cô Ti
易激动的	Dễ Kích Động
孤丹	Cô Đan
妙竹	Diệu Trúc
难预测的	Nan Dự Trắc
半梅	Bán Mai
傲柏	Ngạo Bá
不合群的	Bất Hợp Quần
友菱	Hữu Lăng
元风	Nguyên Phong
不灵活的	Bất Linh Hoạt
飞双	Phi Song
易烟	Dị Yên
喜操纵的	Hỉ Thao Túng Để
醉冬	Túy Đông
怀蕊	Hoài Nhị
情绪化的	Tình Tự Hóa Để
寡妇	Quả Phụ
寻桃	Tầm Đào
大嗓门的	Đại Tảng Môn
沛容	Bái Dung
映之	Ánh Chi
统治欲的	Thống Trị Dục Để
南晴	Nam Tình
小玉	Tiểu Ngọc
强迫性的	Cường Bách Tính
太兰	Thái Lan
尔槐	Nhĩ Hòe
好表现的	Hảo Biểu Hiện
紫易	Tử Dị
听荷	Thính Hà
国际范的	Quốc Tế Phạm Đích
从蓉	Tùng Dung
赛君	Trại Quân
非主流的	Phi Chủ Lưu Đích
友易	Hữu Dị
闭月	Bế Nguyệt
乡村范的	Hương Thôn Phạm Đích
巧荷	Xảo Hà
不愁	Bất Sầu
来自星星的	Đến Từ Vì Sao
寻双	Tầm Song
羞花	Tu Hoa
初出茅庐的	Sơ Xuất Mao Lư Đích
芷雪	Chỉ Tuyết
紫寒	Tử Hàn
锋芒毕露的	Phong Mang Tất Lộ
又夏	Hựu Hạ
夏之	Hạ Chi
赤胆忠心的	Xích Đảm Trung Tâm Đích
梦玉	Mộng Ngọc
飞薇	Phi Vi
鸿运当头的	Hồng Vận Đương Đầu
安梦	An Mộng
如松	Như Tùng
刀枪不入的	Đao Thương Bất Nhập
凝荷	Ngưng Hà
白安	Bạch An
战无不胜的	Chiến Vô Bất Thắng
外绣	Ngoại Tú
秋翠	Thu Thúy
天下无双的	Thiên Hạ Vô Song
忆曼	Ức Mạn
夜蓉	Dạ Dung
天下无敌的	Thiên Hạ Vô Địch
不平	Bất Bình
傲晴	Ngạo Tình
以一当千的	Dĩ Nhất Đương Thiên
凝蝶	Ngưng Điệp
凝丹	Ngưng Đan
登峰造极的	Đăng Phong Tạo Cực
以寒	Dĩ Hàn
凌瑶	Lăng Dao
嗜酒成性的	Thị Tửu Thành Tính
安南	An Nam
初曼	Sơ Mạn
鱼肉百姓的	Ngư Nhục Bách Tính
慕卉	Mộ Hủy
夜安	Dạ An
花天酒地的	Hoa Thiên Tửu Địa
映梦	Ánh Mộng
安荷	An Hà
国色天香的	Quốc Sắc Thiên Hương
绿蝶	Lục Điệp
青柏	Thanh Bá
倾国倾城的	Khuynh Quốc Khuynh Thành
凌翠	Lăng Thúy
向松	Hướng Tùng
貌美如花的	Mạo Mĩ Như Hoa
夜蕾	Dạ Lôi
绿旋	Lục Toàn
秀色可餐的	Tú Sắc Khả Xan
含双	Hàm Song
芷珍	Chỉ Trân
英俊潇洒的	Anh Tuấn Tiêu Sái
慕灵	Mộ Linh
凌晴	Lăng Tình
风流倜傥的	Phong Lưu Thích Thảng
碧琴	Bích Cầm
新儿	Tân Nhi
气宇轩昂的	Khí Vũ Hiên Ngang
夏旋	Hạ Tuyền
亦绿	Diệc Lục
器宇不凡的	Khí Vũ Bất Phàm
冷雁	Lãnh Nhạn
雁丝	Nhạn Ti
玉树临风的	Ngọc Thụ Lâm Phong
乐双	Lạc Song
惜霜	Tích Sương
仪表堂堂的	Nghi Biểu Đường Đường
念梦	Niệm Mộng
紫青	Tử Thanh
眉清目秀的	Mi Thanh Mục Tú
静丹	Tĩnh Đan
冰双	Băng Song
目若朗星的	Mục Nhược Lãng Tinh
之柔	Chi Nhu
映冬	Ánh Đông
风度翩翩的	Phong Độ Phiên Phiên
新瑶	Tân Dao
代萱	Đại Huyên
一表人才的	Nhất Biểu Nhân Tài
亦旋	Diệc Tuyền
梦旋	Mộng Tuyền
亭亭玉立的	Đình Đình Ngọc Lập
雪巧	Tuyết Xảo
毒娘	Độc Nương
花枝招展的	Hoa Chi Chiêu Triển
中蓝	Trung Lam
紫萍	Tử Bình
如花似玉的	Như Hoa Như Ngọc
莹芝	Oánh Chi
冰真	Băng Chân
秀外慧中的	Tú Ngoại Tuệ Trung
一兰	Nhất Lan
幻翠	Huyễn Thúy
楚楚动人的	Sở Sở Động Nhân
清涟	Thanh Liên
向秋	Hướng Thu
天生丽质的	Thiên Sinh Lệ Chất
盛男	Thịnh Nam
海蓝	Hải Lam
美眸皓齿的	Mĩ Mâu Hạo Xỉ
凝莲	Ngưng Liên
凌兰	Lăng Lan
绝代风华的	Tuyệt Đại Phong Hoa
雪莲	Tuyết Liên
如柏	Như Bá
不施粉黛的	Bất Thi Phấn Đại
依琴	Ỷ Cầm
千山	Thiên Sơn
出水芙蓉的	Xuất Thủy Phù Dung
绣连	Tú Liên
雁芙	Nhạn Phù
美若天仙的	Mỹ Nhược Thiên Tiên
友灵	Hữu Linh
白秋	Bạch Thu
千娇百媚的	Thiên Kiều Bách Mị
醉柳	Túy Liễu
代梅	Đại Mai
梨花带雨的	Lê Hoa Đái Vũ
秋双	Thu Song
香之	Hương Chi
面若桃花的	Diện Nhược Đào Hoa
梦寒	Mộng Hàn
小蕊	Tiểu Nhị
开放内容	Mở nội dung
出征开启;出城杀敌	Xuất chinh mở;Xuất thành sát địch
出城与敌军战斗时会消耗一定的粮食！	Khi xuất thành và chiến đấu quân địch sẽ tiêu hao Lúa nhất định !
武将信息开启;穿戴装备	Mở thông tin Võ Tướng;Mặc trang bị
每个武将可穿戴3件装备哦！	Mỗi Võ Tướng có thể mặc 3 trang bị đấy nhé !
5级开启铁匠铺;装备可进行强化	Cấp 5 mở Lò Rèn;Có thể cường hóa trang bị
强化的装备威力无穷。	Trang bị cường hóa uy lực vô hạn
铁匠铺开启;装备可进行强化	Mờ lò rèn;Có thể cường hóa trang bị
招贤馆、布阵开启;招募武将、武将上阵	Tửu Quán, Bố Trận mở;Chiêu mộ Võ Tướng, sắp xếp trận hình
积攒足够的将魂，可以兑换极品武将！	Thu thập đủ hồn tướng, có thể đổi Võ Tướng cực phẩm !
10级开启打造功能;装备可进行打造	Cấp 10 mở luyện trang bị;Có thể tiến hành luyện trang bị
打造时放入“幸运宝石”可提升成功几率。	Khi luyện để vào “Hạnh vận Ngọc“ có thể tăng tỉ lệ thành công
打造开启;装备可进行打造	Luyện mở;Có thể tiến hành luyện trang bị
12级开启成就;完成成就领取元宝	Cấp 12 mở Nhiệm Vụ;Hoàn thành Nhiệm Vụ nhận KNB
累积完成成就可领取丰厚奖励哦！	Tích lũy hoàn thành Nhiệm Vụ sẽ nhận phần thưởng phong phú đấy !
成就开启;完成成就领取元宝	Nhiệm Vụ mở;Hoàn thành Nhiệm Vụ nhận KNB
达到13级返回主城;可领取新手奖励	Đạt đến cấp 13 trở về chủ thành;sẽ nhận được phần thưởng tân thủ
14级开启消息功能;可查看新消息	Cấp 14 mở chức năng nhắn tin; Có thể xem tin tức
被动技能开启	Kỹ năng bị động mở
单个武将可同时享用所有训练位，给力吧！	Tướng duy nhất có thể trong khi thưởng thức tất cả các trang web đào tạo, để ép buộc!
消息开启;查看新消息	Mở tin nhắn;Xem tin tức
残卷抢夺开启;抢夺残卷合成技能书	Cướp Tàn Quyển mở;Cướp Tàn Quyển ghép sách kỹ năng
神将放送开启;累计星星获得神将	Thần tướng phát tặng mở;Tích lũy sao nhận được thần tướng
单个武将可同时享用所有训练位，给力吧！	Võ Tướng có thể đồng thời dùng tất cả ô huấn luyện, cố gắng lên !
消息开启;查看新消息	Tin tức mở;Xem tin tức chiến báo
17级训练馆开启;武将可训练升级	Cấp 17 mở Thao Trường;Võ Tướng có thể huấn luyện tăng cấp
训练馆开启;武将可训练升级	Thao Trường mở;Võ Tướng có thể huấn luyện tăng cấp
扫荡开启;副本扫荡	Càn quét mở;Phụ Bản càn quét
扫荡可获得大量的军功。	Càn quét có thể nhận được lượng lớn Quân Công
20级开启擂台挑战;争夺擂台霸主	Cấp 20 mở Lôi Đài;Tranh đoạt Lôi Đài bá chủ
金矿开启;占领金矿获得金币	Mở Ngân Khoáng;Chiếm Ngân Khoáng nhận Vàng
占领或掠夺其他玩家的金矿可获得大量金币！	Chiếm hoặc cướp Ngân Khoáng của người chơi khác sẽ nhận được lượng lớn Vàng
擂台开启;擂台挑战	Lôi Đài mở;Lôi Đài khiêu chiến
擂台排名越高，领取的奖励越多哦！	Xếp hạng Lôi Đài càng cao;Nhận phần thưởng càng nhiều đấy !
活跃度开启;领取活跃宝箱	Độ hoạt động mở;Nhận Linh Hoạt Bảo Rương
达到对应的活跃值都有宝箱等着你开启哦！	Đạt đến chỉ số linh hoạt nhất định thì đều có sẵn Bảo Rương chờ ngươi mở đấy !
活跃度开启;领取活跃宝箱	Độ hoạt động mở;Nhận Linh Hoạt Bảo Rương
千重楼开启;挑战千重楼	Thiên Trọng Lâu mở;Khiêu chiến Thiên Trọng Lâu
千重楼可以获得大量进阶兵符和技能书。	Thiên Trọng Lâu có thể nhận được lượng lớn tiến cấp Binh Phù và sách kỹ năng
军团开启;加入军团参与活动	Quân Đoàn mở;Gia nhập quân đoàn tham gia sự kiện
武将进阶开启;武将觉醒开启	Tiến cấp Võ Tướng mở; Thức tỉnh Võ Tướng mở
世界BOSS开启;获取神将碎片，技能书	BOSS Thế Giới mở; Nhận được Mảnh Phong Thần, Sách Kỹ Năng
29级开启西域通商;镖局前进	Cấp 29 mở thông thương Tây Vực; Tiêu Cục tiến lên
收集神将碎片觉醒武将提升大量战斗力	Thu thập Mảnh Phong Thần, Võ Tướng Phong Thần tăng lực chiến rất nhiều
创建军团开始您雄霸天下之旅吧	Kiến tạo quân đoàn trước tiên phải hùng bá thiên hạ đã !
被动技能可以增强武将属性哦！	Kỹ năng bị động tăng cường thuộc tính Võ Tướng!
武将培养开启;武将可进行培养	Bồi dưỡng Võ Tướng mở;Võ Tướng có thể tiến hành bồi dưỡng
成长值大幅度影响武将的基础属性。	Trưởng thành có ảnh hưởng lớn đến thuộc tính cơ bản của Võ Tướng
进阶开启;武将进阶	Tiến cấp mở;Võ Tướng tiến cấp
命运之轮、宝石镶嵌开启;转动转盘拿大奖，装备镶嵌宝石	Vòng Vận Mệnh, Khảm Ngọc mở; Quay vòng quay được thưởng lớn, đá khảm trang bị
华丽的转身伴随着实力的提升。	Chuyển sinh hoa lệ phần lớn tùy thuộc vào sự tăng thể lực
抢夺残卷越多合成技能书就越多哦！	Cướp Tàn Quyển càng nhiều thì ghép sách kỹ năng càng nhiều nhé !
残卷抢夺开启;抢夺残卷合成技能书	Cướp Tàn Quyển mở;Cướp Tàn Quyển ghép sách kỹ năng
西域通商;镖局前进	Tây vực thông thương;Tiêu cục tiến lên
镖局前进可获得大量的宝石哦！	Tiêu cục tiến lên có thể nhận được lượng lớn Ngọc đấy !
31级开启镶嵌;装备可镶嵌宝石	Cấp 31 mở khảm;Trang bị có thể khảm Ngọc
只有镶嵌宝石的装备才是真正的装备！	Chỉ có khảm Ngọc mới là trang bị chân chính !
宝石镶嵌开启;装备可镶嵌宝石	Khảm Ngọc mở;Trang bị có thể khảm Ngọc
35级琳琅店铺、一骑当千开启;36级开启武将炼魂	Cấp 35 mở Tiệm Tiền Cổ, Nhất Kỵ Đương Thiên;Cấp 36 mở Ấn Hồn
50级开启坐骑系统	Cấp 50 mở hệ thống thú cưỡi
坐骑系统开启	Hệ thống thú cưỡi mở
35级琳琅店铺、一骑当千开启;参与活动即可获得丰厚奖励哦	Cấp 35 Tiệm Tiền Cổ, Nhất Kỵ Đương Thiên mở;Tham gia sự kiện nhận ngay quà phong phú !
使用军功历练可提升同一兵种的所有武将属性。	Sử dụng Quân Công tập luyện có thể tăng thuộc tính cùng 1 loại binh chủng của tất cả Võ Tướng
琳琅店铺、一骑当千开启;参与活动即可获得丰厚奖励哦	Tiệm Tiền Cổ, Nhất Kỵ Đương Thiên mở;Tham gia  sự kiện nhận ngay quà phong phú
琳琅店铺、一骑当千开启;36级开启武将炼魂	Mở Tiệm Tiền Cổ, Nhất Kỵ Đương Thiên;Cấp 36 mở Ấn Hồn
武将炼魂开启;37级开启武将觉醒	Võ Tướng luyện hồn mở;Cấp 37 Võ Tướng Phong Thần mở
世界BOSS、武将觉醒开启;获取神将碎片，觉醒武将	BOSS, Võ Tướng Phong Thần mở;Nhận được mảnh Võ Tướng, Võ Tướng Phong Thần
45级开启军机处;兵种可进行历练	Cấp 45 mở Quân Kỹ;Có thể tăng thuộc tính binh chủng
武将觉醒、世界BOSS开启;武将觉醒可实体化参与战斗	Võ Tướng Phong Thần, BOSS mở;Võ Tướng Phong Thần có thể thực thể hóa tham gia chiến đấu
军机处开启;兵种可进行历练	Quân Kỹ mở;Có thể tăng thuộc tính binh chủng
50级开启武将炼魂;武将可进行炼魂	Cấp 50 mở Võ Tướng luyện hồn;Võ Tướng có thể tiến hành luyện hồn
使用多余武将卡牌炼魂可大幅度提升武将战斗力哦！	Sử dụng thẻ Võ Tướng dư để luyện hồn sẽ tăng mạnh lực chiến Võ Tướng đấy !
武将炼魂开启;武将可进行炼魂	Võ Tướng luyện hồn mở;Võ Tướng có thể tiến hành luyện hồn
55级开启勇闯汉墓;可斩获大量宝石	Cấp 55 Lăng Chiến mở;Đánh bại thủ vệ đoạt Ngọc
勇闯汉墓开启;可斩获大量宝石	Lăng Chiến mở;Đánh bại thủ vệ đoạt Ngọc
命运之轮开启;转动转盘，拼人品拿大奖	Vận mệnh chi luân mở;Xoay chuyển vòng xoay, nhận thưởng lớn
跨服军团战即将上线，敬请期待;	Khóa phục quân đoàn chiến sẽ ra mắt ngay, hy vọng mọi người ráng nhẫn nại;
新模块敬请期待;	Hãy theo dõi các Module mới
野外关卡还有许多隐藏奖励，等待发现哦！	Quan ải dã ngoại vẫn còn ẩn chứa nhiều phần thưởng, hãy chờ đợi sự phát hiện nhé !
宝箱奖励	Phần thưởng Bảo Rương
宝箱开出任务道具	Bảo Rương mở ra vật phẩm nhiệm vụ
遭遇战斗，胜利后获得道具	Tao ngộ chiến đấu, sau khi thắng lợi nhận được vật phẩm
马贼令牌	Mã Tặc Lệnh Bài
被盗的铜镜	Kính Đồng Bị Trộm
秘密信件	Thư Bí Mật
大铁锤	Đại Thiết Chùy
藏宝图碎页	Tàng Bảo Đồ Toái Hiệt
招财猫	Chiêu Tài Mao
马贼	Mã Tặc
山贼	Sơn Tặc
黑山军	Hắc Sơn Quân
流寇	Thổ Phỉ
林中大盗	Lâm Trung Đại Đạo
劫匪	Kiếp Phỉ
黄巾军	Hoàng Cân Quân
半路恶霸	Bán Lộ Ác Bá
混世痞子	Hỗn Thế Bĩ Tử
江湖刀客	Giang Hồ Đao Khách
西凉骑兵	Tây Lương Kí Binh
流浪刀客	Lưu Lang Đao Khách
五日连续奖励	Phần thưởng liên tục 5 ngày
另送300元宝(限赠1次)	Tặng thêm 300 KNB (chỉ 1 lần)
另送30元宝	Tặng thêm 30 KNB
另送1980元宝(限赠1次)	Tặng thêm 1980 KNB (chỉ 1 lần)
另送198元宝	Tặng thêm 198 KNB
另送6980元宝(限赠1次)	Tặng thêm 6980 KNB (chỉ 1 lần)
另送698元宝	Tặng thêm 698 KNB
王双	Vương Song
李典	Lý Điển
严颜	Nghiêm Nhan
关兴	Quan Hưng
吕翔	Lữ Tường
潘凤	Phan Phụng
张绣	Trương Tú
满宠	Mãn Sủng
廖化	Liêu Hóa
张苞	Trương Bào
贾充	Giả Sung
司马师	Tư Mã Sư
蒋干	Tưởng Can
卢植	Lô Thực
刘禅	Lưu Thiện
张昭	Trương Chiêu
郭淮	Quách Hoài
甘夫人	Cam Phu Nhân
步练师	Bộ Luyện Sư
张星彩	Trương Tinh Thái
诸葛果	Gia Cát Quả
王元姬	Vương Nguyên Cơ
王异	Vương Dị
关凤	Quan Phụng
夏侯氏	Hạ Hầu Thị
曹丕	Tào Phi
关平	Quan Bình
张任	Trương Nhậm
关索	Quan Sách
文鸳	Văn Uyên
徐庶	Từ Thứ
诸葛诞	Gia Cát Đản
法正	Pháp Chính
糜夫人	Mi Phu Nhân
辛宪英	Tân Hiến Anh
鲍三娘	Bào Tam Nương
张春华	Trương Xuân Hoa
关银屏	Quan Ngân Bình
刘贝贝	Lưu Bối Bối
刘备	Lưu Bị
魏延	Ngụy Diên
黄忠	Hoàng Trung
许褚	Hứa Chử
姜维	Khương Duy
夏侯惇	Hạ Hầu Đôn
庞统	Bàng Thống
张飞	Trương Phi
童渊	Đổng Uyên
5日签到宝箱	Bảo Rương điểm danh 5 ngày
10日签到宝箱	Bảo Rương điểm danh 10 ngày
15日签到宝箱	Bảo Rương điểm danh 15 ngày
20日签到宝箱	Bảo Rương điểm danh 20 ngày
25日签到宝箱	Bảo Rương điểm danh 25 ngày
天怒碎龙斩	Thiên Nộ Toái Long Trảm
以守为攻	Dĩ Thủ Vi Công
逆转锋芒	Nghịch Chuyển Phong Man
烈焰斩	Liệt Diễm Trảm
银火流星杀	Ngân Hỏa Lưu Tinh Sát
双刃尖锋	Song Nhận Tiêm Phong
横扫千军	Hoành Tảo Thiên Quân
追命之魂	Truy Mệnh Chi Hồn
八绝神龙	Bát Tuyệt Thần Long
疾风斩	Tật Phong Trảm
势如破竹	Thế Như Phá Trúc
狂野践踏	Cuồng Dã Tiễn Đạp
葬日神弓	Táng Nhật Thần Cung
天雷暴	Thiên Lôi Bạo
锦囊妙计	Cẩm Nang Diệu Kế
半步定江山	Bán Bộ Định Giang Sơn
运筹帷幄	Vận Trù Duy Ác
乐不思蜀	Lạc Bất Tư Thục
美人计	Mỹ Nhân Kế
玉洁冰清	Ngọc Khiết Băng Thanh
天女散花	Thiên Nữ Tán Hoa
莺歌燕舞	Oanh Ca Yến Vũ
对敌方单体造成120%的伤害，且本方剩余武将越少伤害越高	Gây 120% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至124%	Cấp sau: Tăng sát thương lên mục tiêu đến 124%
对敌方单体造成124%的伤害，且本方剩余武将越少伤害越高	Gây 124% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至128%	Cấp sau: Tăng sát thương lên mục tiêu đến 128%
对敌方单体造成128%的伤害，且本方剩余武将越少伤害越高	Gây 128% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至132%	Cấp sau: Tăng sát thương lên mục tiêu đến 132%
对敌方单体造成132%的伤害，且本方剩余武将越少伤害越高	Gây 132% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至136%	Cấp sau: Tăng sát thương lên mục tiêu đến 136%
对敌方单体造成136%的伤害，且本方剩余武将越少伤害越高	Gây 136% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至140%	Cấp sau: Tăng sát thương lên mục tiêu đến 140%
对敌方单体造成140%的伤害，且本方剩余武将越少伤害越高	Gây 140% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至144%	Cấp sau: Tăng sát thương lên mục tiêu đến 144%
对敌方单体造成144%的伤害，且本方剩余武将越少伤害越高	Gây 144% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至148%	Cấp sau: Tăng sát thương lên mục tiêu đến 148%
对敌方单体造成148%的伤害，且本方剩余武将越少伤害越高	Gây 148% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至152%	Cấp sau: Tăng sát thương lên mục tiêu đến 152%
对敌方单体造成152%的伤害，且本方剩余武将越少伤害越高	Gây 152% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至156%	Cấp sau: Tăng sát thương lên mục tiêu đến 156%
对敌方单体造成156%的伤害，且本方剩余武将越少伤害越高	Gây 156% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至160%	Cấp sau: Tăng sát thương lên mục tiêu đến 160%
对敌方单体造成160%的伤害，且本方剩余武将越少伤害越高	Gây 160% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至164%	Cấp sau: Tăng sát thương lên mục tiêu đến 164%
对敌方单体造成164%的伤害，且本方剩余武将越少伤害越高	Gây 164% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至168%	Cấp sau: Tăng sát thương lên mục tiêu đến 168%
对敌方单体造成168%的伤害，且本方剩余武将越少伤害越高	Gây 168% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至172%	Cấp sau: Tăng sát thương lên mục tiêu đến 172%
对敌方单体造成172%的伤害，且本方剩余武将越少伤害越高	Gây 172% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至176%	Cấp sau: Tăng sát thương lên mục tiêu đến 176%
对敌方单体造成176%的伤害，且本方剩余武将越少伤害越高	Gây 176% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至180%	Cấp sau: Tăng sát thương lên mục tiêu đến 180%
对敌方单体造成180%的伤害，且本方剩余武将越少伤害越高	Gây 180% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至184%	Cấp sau: Tăng sát thương lên mục tiêu đến 184%
对敌方单体造成184%的伤害，且本方剩余武将越少伤害越高	Gây 184% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至188%	Cấp sau: Tăng sát thương lên mục tiêu đến 188%
对敌方单体造成188%的伤害，且本方剩余武将越少伤害越高	Gây 188% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至192%	Cấp sau: Tăng sát thương lên mục tiêu đến 192%
对敌方单体造成192%的伤害，且本方剩余武将越少伤害越高	Gây 192% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至196%	Cấp sau: Tăng sát thương lên mục tiêu đến 196%
对敌方单体造成196%的伤害，且本方剩余武将越少伤害越高	Gây 196% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至200%	Cấp sau: Tăng sát thương lên mục tiêu đến 200%
对敌方单体造成200%的伤害，且本方剩余武将越少伤害越高	Gây 200% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至204%	Cấp sau: Tăng sát thương lên mục tiêu đến 204%
对敌方单体造成204%的伤害，且本方剩余武将越少伤害越高	Gây 204% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至208%	Cấp sau: Tăng sát thương lên mục tiêu đến 208%
对敌方单体造成208%的伤害，且本方剩余武将越少伤害越高	Gây 208% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至212%	Cấp sau: Tăng sát thương lên mục tiêu đến 212%
对敌方单体造成212%的伤害，且本方剩余武将越少伤害越高	Gây 212% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至216%	Cấp sau: Tăng sát thương lên mục tiêu đến 216%
对敌方单体造成216%的伤害，且本方剩余武将越少伤害越高	Gây 216% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至220%	Cấp sau: Tăng sát thương lên mục tiêu đến 220%
对敌方单体造成220%的伤害，且本方剩余武将越少伤害越高	Gây 220% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至224%	Cấp sau: Tăng sát thương lên mục tiêu đến 224%
对敌方单体造成224%的伤害，且本方剩余武将越少伤害越高	Gây 224% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至228%	Cấp sau: Tăng sát thương lên mục tiêu đến 228%
对敌方单体造成228%的伤害，且本方剩余武将越少伤害越高	Gây 228% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至232%	Cấp sau: Tăng sát thương lên mục tiêu đến 232%
对敌方单体造成232%的伤害，且本方剩余武将越少伤害越高	Gây 232% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至236%	Cấp sau: Tăng sát thương lên mục tiêu đến 236%
对敌方单体造成236%的伤害，且本方剩余武将越少伤害越高	Gây 236% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至240%	Cấp sau: Tăng sát thương lên mục tiêu đến 240%
对敌方单体造成240%的伤害，且本方剩余武将越少伤害越高	Gây 240% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至244%	Cấp sau: Tăng sát thương lên mục tiêu đến 244%
对敌方单体造成244%的伤害，且本方剩余武将越少伤害越高	Gây 244% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至248%	Cấp sau: Tăng sát thương lên mục tiêu đến 248%
对敌方单体造成248%的伤害，且本方剩余武将越少伤害越高	Gây 248% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至252%	Cấp sau: Tăng sát thương lên mục tiêu đến 252%
对敌方单体造成252%的伤害，且本方剩余武将越少伤害越高	Gây 252% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至256%	Cấp sau: Tăng sát thương lên mục tiêu đến 256%
对敌方单体造成256%的伤害，且本方剩余武将越少伤害越高	Gây 256% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至260%	Cấp sau: Tăng sát thương lên mục tiêu đến 260%
对敌方单体造成260%的伤害，且本方剩余武将越少伤害越高	Gây 260% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至264%	Cấp sau: Tăng sát thương lên mục tiêu đến 264%
对敌方单体造成264%的伤害，且本方剩余武将越少伤害越高	Gây 264% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至268%	Cấp sau: Tăng sát thương lên mục tiêu đến 268%
对敌方单体造成268%的伤害，且本方剩余武将越少伤害越高	Gây 268% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至272%	Cấp sau: Tăng sát thương lên mục tiêu đến 272%
对敌方单体造成272%的伤害，且本方剩余武将越少伤害越高	Gây 272% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至276%	Cấp sau: Tăng sát thương lên mục tiêu đến 276%
对敌方单体造成276%的伤害，且本方剩余武将越少伤害越高	Gây 276% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至280%	Cấp sau: Tăng sát thương lên mục tiêu đến 280%
