编号	名称	等级限制	战役编号	主怪	战斗背景	位置0	位置1	位置2	位置3	位置4	位置5	位置6	位置7	位置8	战斗力	金币	君主经验	武将经验	英雄祭坛说明	点类型	坐标X	坐标Y	宝箱坐标	宝箱坐标	X轴反转(1=图片资源不反转，2=图片资源反转)	开启条件	士气	剧情文件编号
1008602	张旭	1	5	418044	5	313044	313044	313044	418044	113044		413044	413030		72996	1400	500	464		branch	402	369			1		218	0
1009601	吕威璜	1	5	117049	5	112049	112049	117049	312049	312049		212049	212049		99939	1900	550	494		branch	1652	866			1		228	0
1009602	审配	1	5	418049	5	213049	313049		313049	418049		413049	513049	113049	98037	1900	550	494		branch	1789	970			1		228	0
1009603	审荣	1	5	317050	5			112050	412050	412050	317050	212050	512050	512050	103536	2000	560	500		branch	1607	1049			1		230	0
1009604	蒋义渠	1	5	218050	5	513050		313050	213050	218050	413050	413050	213050		104382	2000	560	500		branch	1441	1116			1		230	0
1010301	白马义从	1	6	317051	6	312051	112051	112051	317051	512051		212051		412051	109965	2100	570	506		branch	533	849			1		232	0
1010302	邹丹	1	6	218051	6	313051	113051	113051	218051	513051		213051		413051	110229	2100	570	506		branch	643	771			1		232	0
1010303	郭昕	1	6	317054	6	312054	112054	112054	317054	512054		212054		412054	122743	2400	600	524		branch	523	652			1		238	0
1010304	王门	1	6	417055	6	312055	112055	112055	417055	512055		212055		412055	132504	2500	610	530		branch	326	778			1		240	0
1011201	宿舒	1	6	117057	6	312057	112057	112057	117057	512057		212057		412057	145445	2700	630	542		branch	1437	923			1		244	0
1011202	孙综	1	6	218057	6	313057	113057	113057	218057	513057		213057		413057	146010	2700	630	542		branch	1544	1010			1		244	0
1012801	金旋	1	7	317065	7	312065	112065	112065	317065	512065		212065		412065	201218	3000	710	590		branch	77	647			1		260	0
1012802	巩志	1	7	118065	7	313065	113065	113065	118065	513065		213065		413065	201633	3000	710	590		branch	237	575			1		260	0
1012803	伊籍	1	7	217066	7	312066	112066	112066	217066	512066		212066		412066	208739	3000	720	596		branch	396	507			1		262	0
1012804	邓羲	1	7	418066	7	313066	113066	113066	418066	513066		213066		413066	207383	3000	720	596		branch	539	584			1		262	0
1012805	王粲	1	7	217067	7	312067	112067	112067	217067	512067		212067		412067	215780	3000	730	602		branch	684	648			1		264	0
1013101	张怿	1	7	119066	7	314066	114066	114066	119066	514066		214066		414066	210547	3000	720	596		branch	966	961			1		262	0
1013102	张羡	1	7	218067	7	313067	113067	113067	218067	513067		213067		413067	216712	3000	730	602		branch	1113	956			1		264	0
1013401	苏代	1	7	217068	7	312068	112068	112068	217068	512068		212068		412068	222561	3000	740	608		branch	1439	745			1		266	0
1013402	贝羽	1	7	118068	7	313068	113068	113068	118068	513068		213068		413068	223660	3000	740	608		branch	1592	778			1		266	0
1015201	张横	1	8	117077	8	312077	112077	112077	117077	512077		212077		412077	331924	6400	798	630		branch	1566	402			1		284	0
1015202	成宜	1	8	218077	8	313077	113077	113077	218077	513077		213077		413077	332925	6400	798	630		branch	1750	322			1		284	0
1015203	杨秋	1	8	117078	8	312078	112078	112078	117078	512078		212078		412078	339655	6600	804	632		branch	1884	428			1		286	0
1015204	阎行	1	8	317079	8	312079	112079	112079	317079	512079		212079		412079	362064	6800	810	634		branch	1994	528			1		288	0
1015601	成公英	1	8	118079	8	313079	113079	113079	118079	513079		213079		413079	364746	6800	810	634		branch	1116	1110			1		288	0
1015602	边章	1	8	319079	8	314079	114079	114079	319079	514079		214079		414079	366994	6800	810	634		branch	900	1116			1		288	0
1016301	阿六敦	1	9	117082	9	312082	112082	112082	117082	512082		212082		412082	409120	7400	828	640		branch	508	604			1		294	0
1016302	水鹰大王	1	9	317083	9	312083	112083	112083	317083	512083		212083		412083	419329	7600	834	642		branch	368	676			1		296	0
1016303	雷鸣大王	1	9	218083	9	313083	113083	113083	218083	513083		213083		413083	420229	7600	834	642		branch	214	756			1		296	0
1016304	寿山洞主	1	9	417084	9	312084	112084	112084	417084	512084		212084		412084	440309	7800	840	644		branch	320	848			1		298	0
1016901	水晶洞主	1	9	517085	9	312085	112085	112085	517085	512085		212085		412085	476140	8000	846	646		branch	1282	334			1		300	0
1016902	雷万兴	1	9	117086	9	312086	112086	112086	117086	512086		212086		412086	497134	8200	852	648		branch	1434	278			1		302	0
1016903	蓝凤高	1	9	318086	9	313086	113086	113086	318086	513086		213086		413086	500861	8200	852	648		branch	1594	310			1		302	0
1018801	诸葛建	1	10	117095	10		117095		312095	212095	512095	412095	412095	412095	730189	10000	906	666		branch	629	1002			1		320	0
1018802	诸葛竦	1	10	218095	10	113095		113095	218095		513095	213095	113095	213095	773737	10000	906	666		branch	465	1053			1		320	0
1018803	诸葛绰	1	10	317096	10	112096		112096	212096		112096	412096	317096	412096	776400	10200	912	668		branch	622	1218			1		322	0
1018804	诸葛恪	1	10	418096	10	313096	313096	313096	113096	113096	113096		418096		799229	10200	912	668		branch	800	1130			1		322	0
1018805	诸葛瑾	1	10	417097	10	112097	112097	112097	312097	312097	312097		417097		805670	10400	918	670		branch	968	1054			1		324	0
1019401	武烈皇后	1	10	517098	10	112098		312098	212098	112098		412098	517098	412098	809527	10600	924	672		branch	1494	1152			1		326	0
1019402	孙坚	1	10	118098	10		113098	313098		413098	213098	118098	413098	413098	797291	10600	924	672		branch	1340	1066			1		326	0
1021201	张允	1	11	317107	11	212107	317107	112107	212107		212107		412107	412107	1254229	12400	978	690		branch	1165	901			1		344	0
1021202	文聘	1	11	218107	11	213107	218107	113107	213107		213107		413107	413107	1259030	12400	978	690		branch	1112	1027			1		344	0
1021203	夏侯霸	1	11	117108	11	212108	117108	112108	212108		212108		412108	412108	1283010	12600	984	692		branch	899	1050			1		346	0
1021204	戏志才	1	11	418108	11	213108	418108	113108	213108		213108		413108	413108	1258782	12600	984	692		branch	735	1144			1		346	0
1021401	李通	1	11	219108	11	214108	219108	114108	214108		214108		414108	414108	1292681	12600	984	692		branch	1492	676			1		346	0
1021402	刘夫人	1	11	519108	11	214108	519108	114108	214108		214108		414108	414108	1301892	12600	984	692		branch	1349	568			1		346	0
1004506	周祥兆	1	3	417026	3	417026		112026	412026		312015				13471					honor	765	1228			1		200	0
1007304	雷薄	1	4	318039	4		113039	313039		413039	213039	318039	313030		48057					honor	972	343			1		208	0
1008603	颜良	1	5	419044	5	514044	419044	514044	214044		214044	414044		414036	74899					honor	285	276			1		218	0
1011203	公孙修	1	6	317058	6		112058	312058		412058	212058	317058	312058	112058	149451					honor	1675	1110			1		246	0
1013403	邢道荣	1	7	217069	7		112069	312069		412069	212069	217069	312069	112069	235728					honor	1664	871			1		268	0
1015603	北宫伯玉	1	8	317080	8		112080	312080		412080	212080	317080	312080	112080	385442					honor	660	1143			1		290	0
1016904	朵思大王	1	9	117087	9		112087	312087		412087	212087	117087	312087	112087	511383					honor	1784	438			1		304	0
1019403	丁奉	1	10	217099	10	112099	312099	312099	217099	212099		412099		512099	891680					honor	1190	975			1		328	0
1021403	曹洪	1	11	317109	11		112109	312109		412109	212109	317109	412109	412109	1378237					honor	1716	490			1		348	0
1003401	马元义	1	2	117021	2	117021			212021	312010					6570					branchBoss	1781	1104			1		200	0
1003402	卜己	1	2	318021	2			318021		313021	213012				6734					branchBoss	-1	-1			1		200	0
1004801	陈宫	1	3	419025	3				514025	214020	314016			419025	11699					branchBoss	770	393			1		200	0
1004802	曹性	1	3	119025	3	119025			214025	314022			414018		12416					branchBoss	-1	-1			1		200	0
1007401	袁嗣	1	4	219038	4	314038	114038	114038	514038	219038		414030			46977					branchBoss	1237	1138			1		206	0
1007402	乐就	1	4	319038	4	319038			214038	314038		214038	414038	514032	47859					branchBoss	-1	-1			1		206	0
1008901	郭于淳	1	5	319045	5	319045	314045		214045		314045	214045	414045	514045	84670					branchBoss	649	752			1		220	0
1008902	逢纪	1	5	419046	5	114046	314046	114046	314046		214046	419046		414046	88197					branchBoss	-1	-1			1		222	0
1010501	公孙康	1	6	117053	6	112053	112053	312053		312053	212053	117053		412053	120229					branchBoss	1040	1279			1		236	0
1010502	公孙晃	1	6	218054	6	113054	113054	313054		313054	213054	218054		413054	123585					branchBoss	-1	-1			1		238	0
1010503	柳夫人	1	6	319054	6	114054	114054	314054		314054	214054	319054		414054	124198					branchBoss	-1	-1			1		238	0
1013103	文聘	1	7	319067	7	114067	114067	314067		314067	214067	319067		414067	218729					branchBoss	1236	1093			1		264	0
1013104	蔡中	1	7	119068	7	114068	114068	314068		314068	214068	119068		414068	225333					branchBoss	-1	-1			1		266	0
1014901	马岱	1	8	317075	8	112075	112075	312075		312075	212075	317075		412075	310370					branchBoss	690	673			1		280	0
1014902	马玩	1	8	117076	8	112076	112076	312076		312076	212076	117076		412076	324550					branchBoss	-1	-1			1		282	0
1017601	金环三结	1	9	117089	9	112089	112089	312089		312089	212089	117089		412089	566808					branchBoss	1130	1283			1		308	0
1017602	董茶那	1	9	318089	9	113089	113089	313089		313089	213089	318089		413089	570517					branchBoss	-1	-1			1		308	0
1019001	黄盖	1	10	119096	10	314096	114096		214096	214096		414096	514096	119096	799192					branchBoss	615	623			1		322	0
1019002	太史慈	1	10	319096	10	114096		314096	314096	319096	214096	414096		214096	798134					branchBoss	-1	-1			1		322	0
1020901	杨修	1	11	217105	11	112105	112105	312105		312105	212105	217105		412105	1220009					branchBoss	244	1178			1		340	0
1020902	孙姬	1	11	517106	11	112106	112106	312106		312106	212106	517106		412106	1280911					branchBoss	-1	-1			1		342	0
1020903	徐晃	1	11	318106	11	113106	113106	313106		313106	213106	318106		413106	1287872					branchBoss	-1	-1			1		342	0
1020904	庞德	1	11	319107	11	114107	114107	314107		314107	214107	319107		414107	1322975					branchBoss	-1	-1			1		344	0
1020905	司马懿	1	11	419107	11	114107	114107	314107		314107	214107	419107		414107	1290781					branchBoss	-1	-1			1		344	0
1005303	司州宝箱	1	3		3															chest	1810	1035			1			0
1007205	青州宝箱	1	4		4															chest	764	447			1			0
1009605	豫州宝箱	1	5		5															chest	1267	1212			1			0
1010305	幽州宝箱	1	6		6															chest	197	698			1			0
1012806	荆州宝箱	1	7		7															chest	887	581			1			0
1015205	凉州宝箱	1	8		8															chest	1702	532			1			0
1016305	南蛮宝箱	1	9		9															chest	320	1032			1			0
1018806	扬州宝箱	1	10		10															chest	1162	1202			1			0
1021205	益州宝箱	1	11		11															chest	941	1254			1			0
1002001	洛神	1	1		1															girl	1750	386			1			0
1004001	孙尚香	1	2		2															girl	1193	274			1			0
1006001	大乔	1	3		3															girl	1833	425			1			0
1008001	小乔	1	4		4															girl	1847	391			1			0
1010001	祝融	1	5		5															girl	1883	627			1			0
1012001	蔡文姬	1	6		6															girl	1865	577			1			0
1014001	黄月英	1	7		7															girl	1641	208			1			0
1016001	甄姬	1	8		8															girl	1834	1149			1			0
1018001	貂蝉	1	9		9															girl	1816	1166			1			0
1001	李儒	10	1	440007	1		314006			440007					2469					hero	1732	979			2		200	0
1002	董卓	11	1	340012	1	214013	340012								3378					hero	-1	-1			2		200	0
2001	张角	23	2	440023	2		114023	314015		440023		214006			8718					hero	1177	1090			1		200	0
3001	吕布	28	3	340028	3		114028		314025	414022	340028				16187					hero	1298	1202			1		200	0
4001	袁术	35	4	140038	4	140038			214038	314038	314038	214038	414032		48380					hero	266	377			1		206	0
5001	袁绍	40	5	140048	5			140048	214048	314048	314048	414048	214048	214048	96002					hero	1131	451			1		226	0
5002	公孙渊	45	5	340053	5	114053	340053	314053		214053	414053		414053	514053	119719					hero	-1	-1			1		236	0
6001	公孙瓒	50	6	140058	6	140058			214058	314058	314058	214058	414058	514058	149904					hero	553	413			1		236	0
6002	蒯越	55	6	440063	6	314063	114063	314063		314063	214063	440063		414063	182276					hero	-1	-1			1		246	0
7001	刘表	60	7	340068	7	114068	514068	114068		340068	414068	214068	414068		222408					hero	718	340			1		256	0
7002	马超	65	7	340073	7	114073		314073	314073	340073	214073	414073		214073	280817					hero	-1	-1			1		266	0
8001	马腾	70	8	240078	8	114078	314078	314078	114078	240078		414078		214078	344158					hero	390	1022			1		276	0
8002	祝融	75	8	540083	8	114083	114083	114083	214083	114083		540083	414083		423159					hero	-1	-1			1		286	0
9001	孟获	80	9	140088	9		140088		314088	214088	314088	514088	414088	514088	532018					hero	1312	776			2		296	0
9002	周瑜	85	9	440093	9	114093	314093	114093	214093	440093		414093		514093	649073					hero	-1	-1			2		306	0
10001	孙权	90	10	140098	10	314098	114098		214098	214098		414098	514098	140098	833983					hero	926	373			1		316	0
10002	司马懿	95	10	440103	10		114103	314103		414103	214103	440103	414103	414103	978833					hero	-1	-1			1		326	0
11001	曹操	100	11	140108	11	314108	114108		214108	214108		414108	514108	140108	1344024					hero	1188	371			1		336	0
