兵种(刀，枪，骑，谋士，红颜)	技能	类型(1:主动，2：被动)	技能等级	技能战斗力系数	技能效果	技能效果参数	技能目标	效果描述	效果持续回合	技能伤害系数	升级Tips	战斗力附加值
2	2	2	1	0	critdamage	50	0	永久提高枪兵50点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵100点暴击	20
2	2	2	2	0	critdamage	100	0	永久提高枪兵100点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵150点暴击	40
2	2	2	3	0	critdamage	150	0	永久提高枪兵150点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵200点暴击	60
2	2	2	4	0	critdamage	200	0	永久提高枪兵200点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵250点暴击	80
2	2	2	5	0	critdamage	250	0	永久提高枪兵250点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵300点暴击	100
2	2	2	6	0	critdamage	300	0	永久提高枪兵300点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵350点暴击	120
2	2	2	7	0	critdamage	350	0	永久提高枪兵350点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵400点暴击	140
2	2	2	8	0	critdamage	400	0	永久提高枪兵400点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵450点暴击	160
2	2	2	9	0	critdamage	450	0	永久提高枪兵450点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵500点暴击	180
2	2	2	10	0	critdamage	500	0	永久提高枪兵500点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵550点暴击	200
2	2	2	11	0	critdamage	550	0	永久提高枪兵550点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵600点暴击	220
2	2	2	12	0	critdamage	600	0	永久提高枪兵600点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵650点暴击	240
2	2	2	13	0	critdamage	650	0	永久提高枪兵650点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵700点暴击	260
2	2	2	14	0	critdamage	700	0	永久提高枪兵700点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵750点暴击	280
2	2	2	15	0	critdamage	750	0	永久提高枪兵750点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵800点暴击	300
2	2	2	16	0	critdamage	800	0	永久提高枪兵800点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵850点暴击	320
2	2	2	17	0	critdamage	850	0	永久提高枪兵850点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵900点暴击	340
2	2	2	18	0	critdamage	900	0	永久提高枪兵900点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵950点暴击	360
2	2	2	19	0	critdamage	950	0	永久提高枪兵950点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵1000点暴击	380
2	2	2	20	0	critdamage	1000	0	永久提高枪兵1000点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵1050点暴击	400
2	2	2	21	0	critdamage	1050	0	永久提高枪兵1050点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵1100点暴击	420
2	2	2	22	0	critdamage	1100	0	永久提高枪兵1100点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵1150点暴击	440
2	2	2	23	0	critdamage	1150	0	永久提高枪兵1150点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵1200点暴击	460
2	2	2	24	0	critdamage	1200	0	永久提高枪兵1200点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵1250点暴击	480
2	2	2	25	0	critdamage	1250	0	永久提高枪兵1250点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵1300点暴击	500
2	2	2	26	0	critdamage	1300	0	永久提高枪兵1300点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵1350点暴击	520
2	2	2	27	0	critdamage	1350	0	永久提高枪兵1350点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵1400点暴击	540
2	2	2	28	0	critdamage	1400	0	永久提高枪兵1400点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵1450点暴击	560
2	2	2	29	0	critdamage	1450	0	永久提高枪兵1450点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵1500点暴击	580
2	2	2	30	0	critdamage	1500	0	永久提高枪兵1500点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵1550点暴击	600
2	2	2	31	0	critdamage	1550	0	永久提高枪兵1550点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵1600点暴击	620
2	2	2	32	0	critdamage	1600	0	永久提高枪兵1600点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵1650点暴击	640
2	2	2	33	0	critdamage	1650	0	永久提高枪兵1650点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵1700点暴击	660
2	2	2	34	0	critdamage	1700	0	永久提高枪兵1700点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵1750点暴击	680
2	2	2	35	0	critdamage	1750	0	永久提高枪兵1750点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵1800点暴击	700
2	2	2	36	0	critdamage	1800	0	永久提高枪兵1800点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵1850点暴击	720
2	2	2	37	0	critdamage	1850	0	永久提高枪兵1850点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵1900点暴击	740
2	2	2	38	0	critdamage	1900	0	永久提高枪兵1900点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵1950点暴击	760
2	2	2	39	0	critdamage	1950	0	永久提高枪兵1950点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵2000点暴击	780
2	2	2	40	0	critdamage	2000	0	永久提高枪兵2000点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵2050点暴击	800
2	2	2	41	0	critdamage	2050	0	永久提高枪兵2050点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵2100点暴击	820
2	2	2	42	0	critdamage	2100	0	永久提高枪兵2100点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵2150点暴击	840
2	2	2	43	0	critdamage	2150	0	永久提高枪兵2150点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵2200点暴击	860
2	2	2	44	0	critdamage	2200	0	永久提高枪兵2200点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵2250点暴击	880
2	2	2	45	0	critdamage	2250	0	永久提高枪兵2250点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵2300点暴击	900
2	2	2	46	0	critdamage	2300	0	永久提高枪兵2300点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵2350点暴击	920
2	2	2	47	0	critdamage	2350	0	永久提高枪兵2350点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵2400点暴击	940
2	2	2	48	0	critdamage	2400	0	永久提高枪兵2400点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵2450点暴击	960
2	2	2	49	0	critdamage	2450	0	永久提高枪兵2450点暴击，暴击造成的伤害为普通攻击的150%			下一级：永久提高枪兵2500点暴击	980
2	2	2	50	0	critdamage	2500	0	永久提高枪兵2500点暴击，暴击造成的伤害为普通攻击的150%			已升到最高级	1000
2	3	1	1	120	atkrow	0	0	对横向目标造成70%的伤害，最多可对三个武将造成伤害		70	下一级：对目标造成的伤害提高至72%	20
2	3	1	2	124	atkrow	0	0	对横向目标造成72%的伤害，最多可对三个武将造成伤害		72	下一级：对目标造成的伤害提高至74%	40
2	3	1	3	128	atkrow	0	0	对横向所有目标造成74%的伤害，最多可对三个武将造成伤害		74	下一级：对目标造成的伤害提高至76%	60
2	3	1	4	132	atkrow	0	0	对横向所有目标造成76%的伤害，最多可对三个武将造成伤害		76	下一级：对目标造成的伤害提高至78%	80
2	3	1	5	136	atkrow	0	0	对横向所有目标造成78%的伤害，最多可对三个武将造成伤害		78	下一级：对目标造成的伤害提高至80%	100
2	3	1	6	140	atkrow	0	0	对横向所有目标造成80%的伤害，最多可对三个武将造成伤害		80	下一级：对目标造成的伤害提高至82%	120
2	3	1	7	144	atkrow	0	0	对横向所有目标造成82%的伤害，最多可对三个武将造成伤害		82	下一级：对目标造成的伤害提高至84%	140
2	3	1	8	148	atkrow	0	0	对横向所有目标造成84%的伤害，最多可对三个武将造成伤害		84	下一级：对目标造成的伤害提高至86%	160
2	3	1	9	152	atkrow	0	0	对横向所有目标造成86%的伤害，最多可对三个武将造成伤害		86	下一级：对目标造成的伤害提高至88%	180
2	3	1	10	156	atkrow	0	0	对横向所有目标造成88%的伤害，最多可对三个武将造成伤害		88	下一级：对目标造成的伤害提高至90%	200
2	3	1	11	160	atkrow	0	0	对横向所有目标造成90%的伤害，最多可对三个武将造成伤害		90	下一级：对目标造成的伤害提高至92%	220
2	3	1	12	164	atkrow	0	0	对横向所有目标造成92%的伤害，最多可对三个武将造成伤害		92	下一级：对目标造成的伤害提高至94%	240
2	3	1	13	168	atkrow	0	0	对横向所有目标造成94%的伤害，最多可对三个武将造成伤害		94	下一级：对目标造成的伤害提高至96%	260
2	3	1	14	172	atkrow	0	0	对横向所有目标造成96%的伤害，最多可对三个武将造成伤害		96	下一级：对目标造成的伤害提高至98%	280
2	3	1	15	176	atkrow	0	0	对横向所有目标造成98%的伤害，最多可对三个武将造成伤害		98	下一级：对目标造成的伤害提高至100%	300
2	3	1	16	180	atkrow	0	0	对横向所有目标造成100%的伤害，最多可对三个武将造成伤害		100	下一级：对目标造成的伤害提高至102%	320
2	3	1	17	184	atkrow	0	0	对横向所有目标造成102%的伤害，最多可对三个武将造成伤害		102	下一级：对目标造成的伤害提高至104%	340
2	3	1	18	188	atkrow	0	0	对横向所有目标造成104%的伤害，最多可对三个武将造成伤害		104	下一级：对目标造成的伤害提高至106%	360
2	3	1	19	192	atkrow	0	0	对横向所有目标造成106%的伤害，最多可对三个武将造成伤害		106	下一级：对目标造成的伤害提高至108%	380
2	3	1	20	196	atkrow	0	0	对横向所有目标造成108%的伤害，最多可对三个武将造成伤害		108	下一级：对目标造成的伤害提高至110%	400
2	3	1	21	200	atkrow	0	0	对横向所有目标造成110%的伤害，最多可对三个武将造成伤害		110	下一级：对目标造成的伤害提高至112%	420
2	3	1	22	204	atkrow	0	0	对横向所有目标造成112%的伤害，最多可对三个武将造成伤害		112	下一级：对目标造成的伤害提高至114%	440
2	3	1	23	208	atkrow	0	0	对横向所有目标造成114%的伤害，最多可对三个武将造成伤害		114	下一级：对目标造成的伤害提高至116%	460
2	3	1	24	212	atkrow	0	0	对横向所有目标造成116%的伤害，最多可对三个武将造成伤害		116	下一级：对目标造成的伤害提高至118%	480
2	3	1	25	216	atkrow	0	0	对横向所有目标造成118%的伤害，最多可对三个武将造成伤害		118	下一级：对目标造成的伤害提高至120%	500
2	3	1	26	220	atkrow	0	0	对横向所有目标造成120%的伤害，最多可对三个武将造成伤害		120	下一级：对目标造成的伤害提高至122%	520
2	3	1	27	224	atkrow	0	0	对横向所有目标造成122%的伤害，最多可对三个武将造成伤害		122	下一级：对目标造成的伤害提高至124%	540
2	3	1	28	228	atkrow	0	0	对横向所有目标造成124%的伤害，最多可对三个武将造成伤害		124	下一级：对目标造成的伤害提高至126%	560
2	3	1	29	232	atkrow	0	0	对横向所有目标造成126%的伤害，最多可对三个武将造成伤害		126	下一级：对目标造成的伤害提高至128%	580
2	3	1	30	236	atkrow	0	0	对横向所有目标造成128%的伤害，最多可对三个武将造成伤害		128	下一级：对目标造成的伤害提高至130%	600
2	3	1	31	240	atkrow	0	0	对横向所有目标造成130%的伤害，最多可对三个武将造成伤害		130	下一级：对目标造成的伤害提高至132%	620
2	3	1	32	244	atkrow	0	0	对横向所有目标造成132%的伤害，最多可对三个武将造成伤害		132	下一级：对目标造成的伤害提高至134%	640
2	3	1	33	248	atkrow	0	0	对横向所有目标造成134%的伤害，最多可对三个武将造成伤害		134	下一级：对目标造成的伤害提高至136%	660
2	3	1	34	252	atkrow	0	0	对横向所有目标造成136%的伤害，最多可对三个武将造成伤害		136	下一级：对目标造成的伤害提高至138%	680
2	3	1	35	256	atkrow	0	0	对横向所有目标造成138%的伤害，最多可对三个武将造成伤害		138	下一级：对目标造成的伤害提高至140%	700
2	3	1	36	260	atkrow	0	0	对横向所有目标造成140%的伤害，最多可对三个武将造成伤害		140	下一级：对目标造成的伤害提高至142%	720
2	3	1	37	264	atkrow	0	0	对横向所有目标造成142%的伤害，最多可对三个武将造成伤害		142	下一级：对目标造成的伤害提高至144%	740
2	3	1	38	268	atkrow	0	0	对横向所有目标造成144%的伤害，最多可对三个武将造成伤害		144	下一级：对目标造成的伤害提高至146%	760
2	3	1	39	272	atkrow	0	0	对横向所有目标造成146%的伤害，最多可对三个武将造成伤害		146	下一级：对目标造成的伤害提高至148%	780
2	3	1	40	276	atkrow	0	0	对横向所有目标造成148%的伤害，最多可对三个武将造成伤害		148	下一级：对目标造成的伤害提高至150%	800
2	3	1	41	280	atkrow	0	0	对横向所有目标造成150%的伤害，最多可对三个武将造成伤害		150	下一级：对目标造成的伤害提高至152%	820
2	3	1	42	284	atkrow	0	0	对横向所有目标造成152%的伤害，最多可对三个武将造成伤害		152	下一级：对目标造成的伤害提高至154%	840
2	3	1	43	288	atkrow	0	0	对横向所有目标造成154%的伤害，最多可对三个武将造成伤害		154	下一级：对目标造成的伤害提高至156%	860
2	3	1	44	292	atkrow	0	0	对横向所有目标造成156%的伤害，最多可对三个武将造成伤害		156	下一级：对目标造成的伤害提高至158%	880
2	3	1	45	296	atkrow	0	0	对横向所有目标造成158%的伤害，最多可对三个武将造成伤害		158	下一级：对目标造成的伤害提高至160%	900
2	3	1	46	300	atkrow	0	0	对横向所有目标造成160%的伤害，最多可对三个武将造成伤害		160	下一级：对目标造成的伤害提高至162%	920
2	3	1	47	304	atkrow	0	0	对横向所有目标造成162%的伤害，最多可对三个武将造成伤害		162	下一级：对目标造成的伤害提高至164%	940
2	3	1	48	308	atkrow	0	0	对横向所有目标造成164%的伤害，最多可对三个武将造成伤害		164	下一级：对目标造成的伤害提高至166%	960
2	3	1	49	312	atkrow	0	0	对横向所有目标造成166%的伤害，最多可对三个武将造成伤害		166	下一级：对目标造成的伤害提高至168%	980
2	3	1	50	316	atkrow	0	0	对横向所有目标造成168%的伤害，最多可对三个武将造成伤害		168	已升到最高级	1000
2	4	2	1	0	hit	50	0	永久提高枪兵50点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵100点命中	20
2	4	2	2	0	hit	100	0	永久提高枪兵100点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵150点命中	40
2	4	2	3	0	hit	150	0	永久提高枪兵150点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵200点命中	60
2	4	2	4	0	hit	200	0	永久提高枪兵200点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵250点命中	80
2	4	2	5	0	hit	250	0	永久提高枪兵250点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵300点命中	100
2	4	2	6	0	hit	300	0	永久提高枪兵300点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵350点命中	120
2	4	2	7	0	hit	350	0	永久提高枪兵350点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵400点命中	140
2	4	2	8	0	hit	400	0	永久提高枪兵400点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵450点命中	160
2	4	2	9	0	hit	450	0	永久提高枪兵450点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵500点命中	180
2	4	2	10	0	hit	500	0	永久提高枪兵500点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵550点命中	200
2	4	2	11	0	hit	550	0	永久提高枪兵550点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵600点命中	220
2	4	2	12	0	hit	600	0	永久提高枪兵600点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵650点命中	240
2	4	2	13	0	hit	650	0	永久提高枪兵650点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵700点命中	260
2	4	2	14	0	hit	700	0	永久提高枪兵700点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵750点命中	280
2	4	2	15	0	hit	750	0	永久提高枪兵750点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵800点命中	300
2	4	2	16	0	hit	800	0	永久提高枪兵800点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵850点命中	320
2	4	2	17	0	hit	850	0	永久提高枪兵850点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵900点命中	340
2	4	2	18	0	hit	900	0	永久提高枪兵900点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵950点命中	360
2	4	2	19	0	hit	950	0	永久提高枪兵950点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵1000点命中	380
2	4	2	20	0	hit	1000	0	永久提高枪兵1000点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵1050点命中	400
2	4	2	21	0	hit	1050	0	永久提高枪兵1050点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵1100点命中	420
2	4	2	22	0	hit	1100	0	永久提高枪兵1100点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵1150点命中	440
2	4	2	23	0	hit	1150	0	永久提高枪兵1150点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵1200点命中	460
2	4	2	24	0	hit	1200	0	永久提高枪兵1200点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵1250点命中	480
2	4	2	25	0	hit	1250	0	永久提高枪兵1250点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵1300点命中	500
2	4	2	26	0	hit	1300	0	永久提高枪兵1300点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵1350点命中	520
2	4	2	27	0	hit	1350	0	永久提高枪兵1350点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵1400点命中	540
2	4	2	28	0	hit	1400	0	永久提高枪兵1400点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵1450点命中	560
2	4	2	29	0	hit	1450	0	永久提高枪兵1450点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵1500点命中	580
2	4	2	30	0	hit	1500	0	永久提高枪兵1500点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵1550点命中	600
2	4	2	31	0	hit	1550	0	永久提高枪兵1550点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵1600点命中	620
2	4	2	32	0	hit	1600	0	永久提高枪兵1600点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵1650点命中	640
2	4	2	33	0	hit	1650	0	永久提高枪兵1650点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵1700点命中	660
2	4	2	34	0	hit	1700	0	永久提高枪兵1700点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵1750点命中	680
2	4	2	35	0	hit	1750	0	永久提高枪兵1750点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵1800点命中	700
2	4	2	36	0	hit	1800	0	永久提高枪兵1800点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵1850点命中	720
2	4	2	37	0	hit	1850	0	永久提高枪兵1850点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵1900点命中	740
2	4	2	38	0	hit	1900	0	永久提高枪兵1900点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵1950点命中	760
2	4	2	39	0	hit	1950	0	永久提高枪兵1950点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵2000点命中	780
2	4	2	40	0	hit	2000	0	永久提高枪兵2000点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵2050点命中	800
2	4	2	41	0	hit	2050	0	永久提高枪兵2050点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵2100点命中	820
2	4	2	42	0	hit	2100	0	永久提高枪兵2100点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵2150点命中	840
2	4	2	43	0	hit	2150	0	永久提高枪兵2150点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵2200点命中	860
2	4	2	44	0	hit	2200	0	永久提高枪兵2200点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵2250点命中	880
2	4	2	45	0	hit	2250	0	永久提高枪兵2250点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵2300点命中	900
2	4	2	46	0	hit	2300	0	永久提高枪兵2300点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵2350点命中	920
2	4	2	47	0	hit	2350	0	永久提高枪兵2350点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵2400点命中	940
2	4	2	48	0	hit	2400	0	永久提高枪兵2400点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵2450点命中	960
2	4	2	49	0	hit	2450	0	永久提高枪兵2450点命中，命中可降低对方的闪避几率			下一级：永久提高枪兵2500点命中	980
2	4	2	50	0	hit	2500	0	永久提高枪兵2500点命中，命中可降低对方的闪避几率			已升到最高级	1000
2	5	1	1	120	atkback	0	0	对敌方单体造成140%的伤害，并使其退后一格		140	下一级：对目标造成的伤害提高至144%	20
2	5	1	2	124	atkback	0	0	对敌方单体造成144%的伤害，并使其退后一格		144	下一级：对目标造成的伤害提高至148%	40
2	5	1	3	128	atkback	0	0	对敌方单体造成148%的伤害，并使其退后一格		148	下一级：对目标造成的伤害提高至152%	60
2	5	1	4	132	atkback	0	0	对敌方单体造成152%的伤害，并使其退后一格		152	下一级：对目标造成的伤害提高至156%	80
2	5	1	5	136	atkback	0	0	对敌方单体造成156%的伤害，并使其退后一格		156	下一级：对目标造成的伤害提高至160%	100
2	5	1	6	140	atkback	0	0	对敌方单体造成160%的伤害，并使其退后一格		160	下一级：对目标造成的伤害提高至164%	120
2	5	1	7	144	atkback	0	0	对敌方单体造成164%的伤害，并使其退后一格		164	下一级：对目标造成的伤害提高至168%	140
2	5	1	8	148	atkback	0	0	对敌方单体造成168%的伤害，并使其退后一格		168	下一级：对目标造成的伤害提高至172%	160
2	5	1	9	152	atkback	0	0	对敌方单体造成172%的伤害，并使其退后一格		172	下一级：对目标造成的伤害提高至176%	180
2	5	1	10	156	atkback	0	0	对敌方单体造成176%的伤害，并使其退后一格		176	下一级：对目标造成的伤害提高至180%	200
2	5	1	11	160	atkback	0	0	对敌方单体造成180%的伤害，并使其退后一格		180	下一级：对目标造成的伤害提高至184%	220
2	5	1	12	164	atkback	0	0	对敌方单体造成184%的伤害，并使其退后一格		184	下一级：对目标造成的伤害提高至188%	240
2	5	1	13	168	atkback	0	0	对敌方单体造成188%的伤害，并使其退后一格		188	下一级：对目标造成的伤害提高至192%	260
2	5	1	14	172	atkback	0	0	对敌方单体造成192%的伤害，并使其退后一格		192	下一级：对目标造成的伤害提高至196%	280
2	5	1	15	176	atkback	0	0	对敌方单体造成196%的伤害，并使其退后一格		196	下一级：对目标造成的伤害提高至200%	300
2	5	1	16	180	atkback	0	0	对敌方单体造成200%的伤害，并使其退后一格		200	下一级：对目标造成的伤害提高至204%	320
2	5	1	17	184	atkback	0	0	对敌方单体造成204%的伤害，并使其退后一格		204	下一级：对目标造成的伤害提高至208%	340
2	5	1	18	188	atkback	0	0	对敌方单体造成208%的伤害，并使其退后一格		208	下一级：对目标造成的伤害提高至212%	360
2	5	1	19	192	atkback	0	0	对敌方单体造成212%的伤害，并使其退后一格		212	下一级：对目标造成的伤害提高至216%	380
2	5	1	20	196	atkback	0	0	对敌方单体造成216%的伤害，并使其退后一格		216	下一级：对目标造成的伤害提高至220%	400
2	5	1	21	200	atkback	0	0	对敌方单体造成220%的伤害，并使其退后一格		220	下一级：对目标造成的伤害提高至224%	420
2	5	1	22	204	atkback	0	0	对敌方单体造成224%的伤害，并使其退后一格		224	下一级：对目标造成的伤害提高至228%	440
2	5	1	23	208	atkback	0	0	对敌方单体造成228%的伤害，并使其退后一格		228	下一级：对目标造成的伤害提高至232%	460
2	5	1	24	212	atkback	0	0	对敌方单体造成232%的伤害，并使其退后一格		232	下一级：对目标造成的伤害提高至236%	480
2	5	1	25	216	atkback	0	0	对敌方单体造成236%的伤害，并使其退后一格		236	下一级：对目标造成的伤害提高至240%	500
2	5	1	26	220	atkback	0	0	对敌方单体造成240%的伤害，并使其退后一格		240	下一级：对目标造成的伤害提高至244%	520
2	5	1	27	224	atkback	0	0	对敌方单体造成244%的伤害，并使其退后一格		244	下一级：对目标造成的伤害提高至248%	540
2	5	1	28	228	atkback	0	0	对敌方单体造成248%的伤害，并使其退后一格		248	下一级：对目标造成的伤害提高至252%	560
2	5	1	29	232	atkback	0	0	对敌方单体造成252%的伤害，并使其退后一格		252	下一级：对目标造成的伤害提高至256%	580
2	5	1	30	236	atkback	0	0	对敌方单体造成256%的伤害，并使其退后一格		256	下一级：对目标造成的伤害提高至260%	600
2	5	1	31	240	atkback	0	0	对敌方单体造成260%的伤害，并使其退后一格		260	下一级：对目标造成的伤害提高至264%	620
2	5	1	32	244	atkback	0	0	对敌方单体造成264%的伤害，并使其退后一格		264	下一级：对目标造成的伤害提高至268%	640
2	5	1	33	248	atkback	0	0	对敌方单体造成268%的伤害，并使其退后一格		268	下一级：对目标造成的伤害提高至272%	660
2	5	1	34	252	atkback	0	0	对敌方单体造成272%的伤害，并使其退后一格		272	下一级：对目标造成的伤害提高至276%	680
2	5	1	35	256	atkback	0	0	对敌方单体造成276%的伤害，并使其退后一格		276	下一级：对目标造成的伤害提高至280%	700
2	5	1	36	260	atkback	0	0	对敌方单体造成280%的伤害，并使其退后一格		280	下一级：对目标造成的伤害提高至284%	720
2	5	1	37	264	atkback	0	0	对敌方单体造成284%的伤害，并使其退后一格		284	下一级：对目标造成的伤害提高至288%	740
2	5	1	38	268	atkback	0	0	对敌方单体造成288%的伤害，并使其退后一格		288	下一级：对目标造成的伤害提高至292%	760
2	5	1	39	272	atkback	0	0	对敌方单体造成292%的伤害，并使其退后一格		292	下一级：对目标造成的伤害提高至296%	780
2	5	1	40	276	atkback	0	0	对敌方单体造成296%的伤害，并使其退后一格		296	下一级：对目标造成的伤害提高至300%	800
2	5	1	41	280	atkback	0	0	对敌方单体造成300%的伤害，并使其退后一格		300	下一级：对目标造成的伤害提高至304%	820
2	5	1	42	284	atkback	0	0	对敌方单体造成304%的伤害，并使其退后一格		304	下一级：对目标造成的伤害提高至308%	840
2	5	1	43	288	atkback	0	0	对敌方单体造成308%的伤害，并使其退后一格		308	下一级：对目标造成的伤害提高至312%	860
2	5	1	44	292	atkback	0	0	对敌方单体造成312%的伤害，并使其退后一格		312	下一级：对目标造成的伤害提高至316%	880
2	5	1	45	296	atkback	0	0	对敌方单体造成316%的伤害，并使其退后一格		316	下一级：对目标造成的伤害提高至320%	900
2	5	1	46	300	atkback	0	0	对敌方单体造成320%的伤害，并使其退后一格		320	下一级：对目标造成的伤害提高至324%	920
2	5	1	47	304	atkback	0	0	对敌方单体造成324%的伤害，并使其退后一格		324	下一级：对目标造成的伤害提高至328%	940
2	5	1	48	308	atkback	0	0	对敌方单体造成328%的伤害，并使其退后一格		328	下一级：对目标造成的伤害提高至332%	960
2	5	1	49	312	atkback	0	0	对敌方单体造成332%的伤害，并使其退后一格		332	下一级：对目标造成的伤害提高至336%	980
2	5	1	50	316	atkback	0	0	对敌方单体造成336%的伤害，并使其退后一格		336	已升到最高级	1000
3	1	1	1	120	atkweak	0	0	骑兵发动急袭，对敌方单个武将造成120%的伤害		120	下一级：对目标造成的伤害提高至124%	20
3	1	1	2	124	atkweak	0	0	骑兵发动急袭，对敌方单个武将造成124%的伤害		124	下一级：对目标造成的伤害提高至128%	40
