关键字	简体	越南
E_STR_SUCC_RATE_ZERO	当前成功率为0%,是否前去购买	Tỉ lệ thành công hiện tại là 0%, đồng ý đi mua ?
E_STR_ARENA_RANK	排名：%d	Hạng: %d
E_STR_ARENA_HONOR	声望：%d	Danh Vọng: %d
E_STR_ARENA_HONON_INC	+%d军功/小时	 + %d Quân Công/giờ
E_STR_ARENA_NRANK	第%d名	Hạng %d
E_STR_ARENA_NRANK_SECTION	%d-%d名	Hạng %d - %d
E_STR_ARENA_MANY_HONOR	军功：%s	Quân Công: %s
E_STR_ARENA_LEVEL	擂台等级：%d	Cấp Lôi Đài: %d
E_STR_ARENA_GET_REWARD	获得金币%d	Nhận được %d Vàng 
E_STR_ARENA_NO_FREE_COUNT	今日免费次数已用完，是否花费%d元宝继续挑战？	Đã dùng hết số lần miễn phí hôm nay, đồng ý dùng %d KNB tiếp tục khiêu chiến ?
E_STR_ARENA_GOT_REWARD	已领取	Đã nhận
E_STR_ARENA_FREE_COUNT_LEFT	本轮免费挑战次数%d	Số lần khiêu chiến còn: %d
E_STR_ARENA_COST_CASH	挑战需要消耗%d元宝	Khiêu chiến cần dùng %d KNB 
E_STR_ARENA_CURR_CAN_GET_REWARD	上轮排名阶段奖励(%s)	Lần trước (%s)
E_STR_ARENA_NEXT_REWARD	本轮排名阶段奖励(%s)	Lần này (%s)
E_STR_ARENA_CURR_RANK_REWARD	当前阶段奖励(%s)	Phần thưởng hạng hiện tại %s
E_STR_ARENA_NEXT_RANK_REWARD	下一阶段奖励(%s)	Phần thưởng hạng kế tiếp %s
E_STR_ARENA_CAN_GET	领取	Nhận
E_STR_PRISON_FREE_COUNT	今日还可免费抓捕%d个奴隶	Hôm nay miễn phí bắt giữ %d nô lệ
E_STR_PRISON_ONCLICK_CATCH	点击抓捕	Ấn để bắt giữ
E_STR_PRISON_SPEEDUP	加速	Tăng tốc
E_STR_PRISON_STATE_FREE	空闲	Nhàn rỗi
E_STR_PRISON_GET_GOLD	获得%d金币	Nhận được %d Vàng 
E_STR_CHAT_NOT_ENOUGH_XIAO	小喇叭不足，是否前去购买	Tiểu Lạt Bá không đủ, đi mua ?
E_STR_CHAT_NOT_ENOUGH_DA	大喇叭不足，是否前去购买	Đại Lạt Bá không đủ, đi mua ?
E_STR_CHAT_LEGION_CHAT_NOT_OPEN	军团聊天暂未开放	Quân Đoàn chat tạm chưa mở 
E_STR_CHAT_XIAOLABA_NAME	小喇叭	Tiểu Lạt Bá
E_STR_CHAT_DALABA_NAME	大喇叭	Đại Lạt Bá
E_STR_SIGN_IN	签到	Điểm danh
E_STR_BU_QIAN	补签	Điểm danh bổ sung
E_STR_ADD_UP_AWARD	累计%d日奖励	Phần thưởng tích lũy %d ngày
E_STR_DAY	%日	% ngày
E_STR_SIGN_IN_SUCCEED	签到成功！	Điểm danh thành công !
E_STR_GET_AWARD_SUCCEED	领取奖励成功！	Nhận phần thưởng thành công !
E_STR_SOME_DAY	连续签到%d日奖励	Phần thưởng liên tục điểm danh %d ngày
E_STR_REPAIR_SIGNIG	花费%d元宝补签，当前元宝不足	Dùng %d KNB điểm danh bổ sung, hiện tại KNB không đủ 
E_STR_DRESS_SUCCEED	穿戴成功	Trang bị thành công
E_STR_IMPOSE_GOLD	征收%d金币	Thu thuế được %d Vàng 
E_STR_IMPOSE_FOOD	征收%d粮草	Thu hoạch được %d Lúa 
E_STR_REFRESH_SUCCEED	刷新成功	Làm mới thành công
E_STR_TRAIN_SUCCEED	训练成功	Huấn luyện thành công
E_STR_SPEED_TRAIN_SUCCEED	加速训练成功	Tăng tốc huấn luyện thành công
E_STR_COMPOUND_SUCCEED	合成成功	Ghép thành công 
E_STR_UPGRADE_SUCCEED	升级成功	Tăng cấp thành công
E_STR_SOME_LEVEL_OPEN	武将等级%d级开启	Cấp Võ Tướng tăng %d cấp mở 
E_STR_YET_CATCH	此人已被你抓捕	Người này đã bị ngươi bắt giữ 
E_STR_GET_SUCCEED	领取成功	Nhận thành công
E_STR_CLICK_INPUT_CHAT	点击输入聊天内容	Ấn nhập nội dung chat
E_STR_CLICK_INPUT_ACCOUNTS	点击输入帐号	Ấn nhập tài khoản
E_STR_CLICK_INPUT_PASSWORD	点击输入密码	Ấn nhập mật khẩu
E_STR_CLICK_INPUT_PASSWORD_AGAIN	再次输入密码	Nhập mật khẩu lần nữa
E_STR_LEGION_BUILDING	军团建设中，敬请期待！	Quân Đoàn đang xây dựng, hãy theo dõi nhé !
E_STR_OPEN_SUCCEED	开启成功	Mở thành công
E_STR_STRENGTHEN_SUCCEED	强化成功	Cường hóa thành công
E_STR_REBUILD_SUCCEED	打造成功	Luyện thành công 
E_STR_BUY_SUCCEED	购买成功	Mua thành công
E_STR_SELL_SUCCEED	出售成功	Bán thành công
E_STR_GET_SOUL	获得%d将魂	Nhận được %d Tướng Hồn
E_STR_EXCHANGE_SUCCEED	兑换成功	Đổi thành công
E_STR_FUN_ITERATION	功能迭代中	Chức năng đang cập nhật
E_STR_DROP_EQUIP	成功脱下	Đã tháo trang bị
E_STR_GROW_FAIL	培养失败	Bồi dưỡng thất bại
E_STR_GROW_SUCCEED	培养成功	Bồi dưỡng thành công
E_STR_REBUILD_FAILS	打造失败	Luyện thất bại 
E_STR_WEAR_SOLDIER_PHYSICAL	穿戴兵种：刀，枪，骑	Trang bị: Đao, Thương, Kỵ
E_STR_WEAR_SOLDIER_MAGIC	穿戴兵种：谋，红	Trang bị: Mưu, Vũ
E_STR_WEAR_SOLDIER_ALL	穿戴兵种：全兵种	Trang bị: tất cả
E_STR_SWAP_EQUIP	更换	Đổi 
E_STR_WEAR_EQUIP	穿戴	Trang bị
E_STR_RETURN_INVALID_VALUE	未知错误,请重新登录!	Lỗi chưa xác định, thử đăng nhập lại !
E_STR_SET_NAME_CHONG_MING	服务器已有重名玩家	Server đã có người chơi trùng tên
E_STR_SET_NAME_INVALID_WORD	姓名中包含非法字符	Trong tên có ký tự đặc biệt
E_STR_SET_NAME_SUCC	取名成功	Đặt tên thành công
E_STR_SET_NAME	请输入名字	Mời nhập tên
E_STR_NET_RECONNECTION	主公！网络不给力啊，请重新连接	Chủ Công ! Mạng không ổn định, mời kết nối lại 
E_STR_NET_RELOGIN	你的账号异地登陆	Tài khoản của ngươi đăng nhập nơi khác 
E_STR_NAME_TOO_LENG	用户名不能超过7个字	Tên không được vượt quá 14 kí tự
E_STR_NAME_EMPTY	用户名不能为空	Tên không được để trống
E_STR_RES_NOT_USE	该物品无法使用	Vật phẩm này không thể sử dụng
E_STR_DIAO_CHAN	小蝉	Điêu Thuyền
E_STR_NOT_OPEN_BOSS	尚未开启	Chưa mở
E_STR_OPEN_BOSS	通关”%s”后开启”%s”	Thông quan “%s” mở “%s”
E_STR_CHALLENGE_BOSS	挑战	Khiêu chiến
E_STR_FOOD	粮食	Lúa 
E_STR_BANDIT	土匪	Thổ Phỉ
E_STR_TASK_LIMIT	君主等级未达到任务前往等级	Cấp Quân Chủ chưa đủ cấp nhiệm vụ tiếp theo 
E_STR_NO_ACTIVITY	亲~目前还没有活动哦	Thân ~ Hiện tại vẫn chưa có sự kiện nhé
E_STR_NO_ACTIVITY_AGAIN	亲...再点也没有活动的哦..	Thân…Vào nữa cũng chưa có sự kiện gì đâu nhé..
E_STR_NO_ACTIVITY_AGAIN_TOO	猛戳还是没有活动的哦..	Mãnh trạc vào nữa cũng có sự kiện gì đâu nhé..
E_STR_AGAIN_TOO_TOO	再戳!删号了啊!!!	Trạc lần nữa ! Xóa đấy nhé !!!
5104	是否需要花费%d元宝进行补签!	Dùng %d KNB tiến hành điểm danh bổ sung ! 
5110	得到%s%d	Nhận %s %d
E_STR_GAIN_ANYTHING	得到%s	Nhận %s
E_STR_GAIN_CASH	得到金币%d	Nhận %d Vàng 
E_STR_GAIN_HONNR	得到军功%d	Nhận %d Quân Công 
E_STR_NOT_OPEN_BY_LEVEL	尚未到达开启等级	Chưa đạt đến cấp để mở
E_STR_CHATINPUTISEMPTY	输入为空，请重新输入	Nhập để trống, mời nhập lại lần nữa 
E_STR_SKILL_BOOK_ROBED_MERGE_FAIL	你的残卷刚刚被抢夺了，合成失败	Tàn Quyển của ngươi vừa bị cướp mất rồi, ghép thất bại 
E_STR_EMBATTLE_SUCCESS	布阵成功	Bố trận thành công
E_STR_MAP_ENOUGH	图纸不足，是否前往获取？	Bản Vẽ không đủ, đồng ý lên trước để nhận ?
E_STR_NO_BUY_COUNT	今日元宝购买次数已用完，请明天再来	Đã dùng hết số lần mua KNB hôm nay, mời ngày mai quay lại 
E_STR_ARENA_REFRESH_DATA	擂台数据已更新，请重新选择对手进行挑战	Đã cập nhật dữ liệu Lôi Đài, mời chọn lại đối thủ tiến hành khiêu chiến 
E_STR_REWARD_SUCCEED	领取成功	Nhận thành công
E_STR_ARENA_INVALID_PAGE	亲，字符非法或超出最大页码了哦	Thân, đã chứa ký tự đặc biệt hoặc đã vượt số ký tự tối đa
E_STR_INPUT_NAME	请输入账号	Hãy nhập tài khoản
need_fight_prev_stage	必须通关上一个关卡!	Cần phải thông quan quan ải trước đó
count_zero	今日殴打次数用完了!明天再来吧!	Đã dùng hết số lần ẩu đả hôm nay ! Ngày mai quay lại nhé !
E_STR_RESCUE_POINT_FORMAT	前往%s击败%s后获得	Nhận được sau khi lên trước %s đánh bại %s
hero_altar_no_open	兄台,英雄祭坛你还没解锁呢啊!	Huynh đài, Anh Hùng Tế Đàn vẫn chưa mở mà !
E_STR_EQUIP_MAX	已达最高品阶	Đã đạt phẩm giới cao nhất
E_STR_ALREADY_RETREAT	玩家已撤军，无法抢夺	Người chơi đã rút quân, không thể cướp 
E_STR_RESET_CASH_ENOUGH	重置需要消耗%d元宝，当前元宝不足	Làm mới cần dùng %d KNB, hiện tại KNB không đủ 
E_STR_AUTO_CHALLENGE_CASH_ENOUGH	本次自动战斗需要花费%d元宝，当前元宝不足	Lần tự động khiêu chiến này cần dùng %d KNB, hiện tại KNB không đủ 
E_STR_ARENA_CASH_ENOUCH	本次挑战需要花费%d元宝，当前元宝不足	Khiêu chiến cần %d KNB, hiện tại KNB không đủ
E_STR_GOLDMINE_FULL	（满）	(Đầy)
E_STR_NOT_ROB	已拥有此残卷，无法抢夺	Đã sở hữu Tàn Quyển này, không thể cướp 
E_STR_NO_FRAGMENT_TO_ROB	该玩家的残卷已被他人抢走	Tàn Quyển của người chơi này đã bị người khác cướp 
E_STR_KEEP_MINE_SUCCESS_AND_FULL	胆敢掠夺你的金矿，被你打败！你的金矿已经满了！	Cả gan dám cướp Ngân Khoáng của ngươi, bị ngươi đánh bại! Ngân Khoáng của ngươi đầy rồi!
E_STR_CLICK_BUY	点击购买	Ấn để mua
E_STR_ARENA_CONDITION_NOT_REACH	条件未达到	Chưa đạt 
E_STR_ARENA_CURR_EXP	当前经验：%d	Exp hiện tại: %d 
E_STR_ARENA_UP_EXP	升级经验：%d	Exp tăng cấp: %d
E_STR_ARENA_EXP_NAME	擂台经验	Exp Lôi Đài 
E_STR_OPEN_THOUSAND	需要先开启”勇闯重楼“	Cần mở “Thiên Trọng Lâu” trước
E_STR_GOLDMINE_FAIL	金矿掠夺失败，你损失了%d金币	Ngân Khoáng cướp thất bại, ngươi đã tổn thất %d Vàng 
E_STR_BUSINESS_OPEN_LEVEL	君主等级%d级开启镖局	Quân Chủ cấp %d mở Tiêu Cục 
E_STR_BUSINESS_TIMES_OVER	商队过于疲劳，请稍事休息后再前进。	Đội buôn đã quá kiệt sức, hãy nghĩ ngơi tí rồi đi tiếp
E_STR_HOUR_FOOD	每间隔一段时间产出粮食	Mỗi quảng thời gian được Lúa
E_STR_HOUR_GOLD	每间隔一段时间产出金币	Mỗi quảng thời gian được Vàng 
charllenge_level_limit	请提升等级至%d,再来挑战吧!	Hãy tăng đến cấp %d, rồi quay lại khiêu chiến nhé !
E_BAG_SHOP_UNIT_PRICE	单价	Giá
E_BAG_SHOP_BUY_BUTTON	购买	Mua
E_BAG_SHOP_SELL_BUTTON	出售	Bán
E_BAG_SHOP_USE_BUTTON	使用	Sử dụng
E_BAG_SHOP_SOUL_BUTTON	化魂	Hóa hồn
E_STR_FIGHT_LIMIT	君主等级达到%d级可挑战	Quân Chủ đạt đến cấp %d có thể khiêu chiến 
E_STR_TAVERN_FULL	招贤馆已满，请一键送客	Tửu Quán đã đầy, ấn để tiễn hết khách
E_STR_ROLE_LIMIT	君主等级%d级可增加一个栏位	Quân Chủ cấp %d có thể mở thêm 1 ô
E_STR_ROLE_LIMIT_MAX	栏位已达到最大值	Ô đã đầy
EXP_EFFECT_CUR	当前:%d	Hiện tại: %d
EXP_EFFECT_REMAIN	剩余:%d	Còn lại: %d
EXP_EFFECT_Percent	%0.2f%%	%0.2f%%
buy_food_count_limit	今日元宝购买次数已用完，VIP可获得额外购买次数	Đã sử dụng hết số lần mua KNB hôm nay, VIP có thể thêm số lần mua
E_STR_ROLE_FULL	%d/%d已满	%d/%d đã đầy
E_STR_ACTIVE_INFO	当前活跃度%d,再增加%d可领取宝箱！	Hiện tại là %d, tăng thêm %d có thể nhận Bảo Rương!
E_STR_ACTIVE_FULL	主公！你今日活跃度已完成，请明日再来！	Chủ Công! Độ hoạt động hôm nay đã hoàn thành, mời ngày mai quay lại! 
E_STR_YOUR_GAIN_FOOD	你获得了%d粮草	Bạn nhận được %d Lúa 
E_STR_YOUR_GAIN_MATERIAL	获得%d个%s	Nhận %d %s
E_STR_FOOD_NAME	粮草	Lúa 
E_STR_HONOR_NAME	军功	Quân Công 
E_STR_THOUSANDFOOLR_WAR	本次重楼挑战共收获	Tổng thu hoạch
E_STR_THROUGHTHETRIALS_WAR	本次过关斩将挑战共收获	Thu hoạch được trong Quá Quan Trảm Tướng lần này
E_ALREADY_SAVED_THIS_ONE	该美人已解救，是否前去查看？	Đã giải cứu mỹ nhân này, đi xem ?
E_SYMBOL_VERY_BIG	∞	∞
E_STR_ELITE_HERO	精英武将	Võ Tướng Tinh Anh 
E_STR_ELITE_SOLDIER	精英士兵	Sĩ Binh Tinh Anh 
E_STR_GOTO_LIMIT	君主等级%d级可前往	Quân Chủ cấp %d có thể lên trước 
CongratsOnGirlSaved	恭喜你成功解救%s	Chúc mừng ngươi đã thành công giải cứu %s
E_STR_EMBATTLE_FULL	上阵人数已满	Võ Tướng xuất trận đã đầy 
E_STR_PROTECT_DAY	%d/5天	%d/5 ngày
E_STR_DRIVE	驱赶	Xua đuổi
E_STR_GET_AWARD	领取奖励	Nhận
E_STR_MYSTICAL	神秘奖励	Quà thần bí
E_STR_BS_CONFIRM_HAS_NUM	当前已有数量：%d	Hiện tại có: %d
E_STR_BS_CONFIRM_HAS_NUM_STR	当前已有数量：%s	Hiện tại có: %s
E_STR_HERO_NO_OPEN	英雄尚未解锁	Anh hùng chưa mở
E_STR_BS_GET_ROLE_SUCCESS	获得武将	Nhận được Võ Tướng 
E_STR_ACTIVE_NAME	%d活跃度宝箱	%d độ hoạt động Bảo Rương 
E_STR_TREASURE_GOBACK	返回起点将减少一次探宝次数，是否继续？	Quay lại khởi điểm sẽ giảm một lần thám bảo, đồng ý tiếp tục ?
E_STR_TREASURE_DOAGAIN	主公！是否花费%d元宝重新翻牌一次？	Chủ Công ! Đồng ý dùng %d KNB làm mới một lần lật bài ?
E_STR_TREASURE_GONEXT	前进	Lên trước
E_STR_TREASURE_AUTOGO	机选四次	Máy chọn 4 lần
E_STR_TREASURE_RIFFLE	洗牌(%d秒)	Tẩy bài (%d giây)
E_STR_TREASURE_CANGONEXT	发现%s	Phát hiện %s
E_STR_TREASURE_HAVENOCOUNT	次数不足	Số lần không đủ
E_STR_TREASURE_LIMITCOUNT	当前探宝次数不足！	Hiện tại số lần thám bảo không đủ !
E_STR_TREASURE_HAVENOOPEN	你还没有开启下一章节探索宝箱！	Bạn vẫn chưa mở chương kế tiếp thám tác Bảo Rương !
E_STR_TREASURE_GOBACKBTN	返回起点	Quay lại khởi điểm
E_STR_TREASURE_COUNT	今日剩余挖矿次数%d/%d	Số lần chiếm hôm nay còn: %d/%d
E_STR_TREASURE_CANNOTOPEN	请先开启上一章节探索宝箱！	Hãy mở chương kế thám tác Bảo Rương ! 
E_STR_TREASURE_GOLDLLIMT	开启需要%d金币，当前金币不足	Mở cần %d Vàng, hiện tại Vàng không đủ 
E_STR_TREASURE_UPTIME	后恢复一次.	Sau hồi phục 1 lần
E_STR_TREASURE_ALLAWARD	本次探宝共收获	Thu hoạch được trong thám tác Bảo Rương lần này
E_STR_SET_NAME_INVALID_TYPE	你输入的文字只能为数字、英文、汉字	Bạn chỉ có thể nhập chữ và số
E_STR_BEAUTY_RESCUE_POINT_LABEL	通关“%s”副本后开启	Thông quan “%s” Phụ Bản mở
E_STR_CANJUAN_NULL	今日残卷合成次数已用完，请明天再来！	Đã dùng hết số lần ghép Tàn Quyển hôm nay, mời ngày mai quay lại !
E_STR_SPEND_PRISON_END	花费%d元宝加速，直接获得%d金币，并释放%s，确定加速吗？	Dùng %d KNB để tăng tốc, nhận ngay %d Vàng, và phóng thích %s, đồng ý tăng tốc ?
E_STR_TREASURE_TIMEINFO	剩余探宝次数	Số lần thám bảo còn lại
E_STR_SOON	贼兵即将偷袭汉献帝	Binh tặc sắp tập kích Hán Hiến Đế
E_STR_SAFE	暂时安全	Tạm thời an toàn
E_STR_TREASURE_HAVENOCASH	本次重置需要%d元宝，当前元宝不足！	Lần làm mới này cần %d KNB, hiện tại KNB không đủ !
E_STR_GOLDMINE_WANGZHE	王者金矿	Vương giả Ngân Khoáng 
E_STR_GOLDMINE_GUIZU	贵族金矿	Quý tộc Ngân Khoáng 
E_STR_GOLDMINE_FURAO	富饶金矿	Phú nhiêu Ngân Khoáng 
E_STR_GOLDMINE_PINGMIN	平民金矿	Bình dân Ngân Khoáng 
E_STR_GOLDMINE_NANMIN	难民金矿	Nạn dân Ngân Khoáng
E_STR_GOLDMINE_LV	Lv%d-Lv%d	Lv%d - Lv%d
E_STR_REP_ENOUGH	主公！声望不够啊!	Chủ Công ! Danh Vọng không đủ rồi !
E_STR_GOLDMINE_BIG_LV	%d级以上	Cấp %d trở lên 
E_STR_EXP	%d经验	%d Exp 
E_STR_BEAUTY_UPGRADE	升级	Tăng cấp
E_STR_BEAUTY_ALREADY_MAX	已经满级	Đã đầy cấp
E_STR_NOT_ENOUGH_STARS	主公！通关新的副本可获得星星！	Chủ Công ! Thông quan Phụ Bản mới sẽ nhận được Sao !
E_STR_ATTR_BRACKET_MAX	(满级)	(Đầy cấp)
E_STR_GEM_COUNT_INVALID	非法字符，请输入数字	Ký tự đặc biệt, mời nhập số
E_STR_CARD_SHUFFLE_BTN	洗牌	Tẩy bài
E_STR_CARD_FIGHT_BTN	开战	Chiến 
E_STR_BUY_FOOD_LIMIT	君主等级%d级可购买粮草	Chủ Công cấp %d có thể mua Lúa 
E_STR_GEM_NOT_ENOUGH_AND_BUY	所需%s不足，是否前去购买。	%s không đủ, đi mua.
E_STR_GOLDMINE_NOT_FIGHT	玩家还在保护时间内，不能抢夺	Người chơi vẫn đang trong thời gian bảo vệ, không thể cướp 
E_STR_PLEASE_GET_PREVIOUS_CHAPTER_PASSED	请解锁美人开启战斗任务	Hãy mở khóa mỹ nhân bắt đầu nhiệm vụ chiến đấu
E_STR_FIRE_ROLE_TO_BAG	成功解雇武将，武将卡牌进入背包	Thành công sa thải Võ Tướng, thẻ Võ Tướng vào túi 
E_STR_BAG_TO_CALL	召唤	Triệu hồi
E_STR_BAG_TO_COMBINE	合成	Ghép
E_STR_USE_EXP_INFO	使用%d个经验丹就能使%s武将等级达到君主等级	Sử dụng %d Exp đan tăng %s cấp Võ Tướng đạt đến cấp Quân Chủ 
E_STR_REP	声望	Danh Vọng 
E_STR_CHIP_NOT_ENOUGH	碎片不足，%d个%s碎片可以合成%s	Không đủ, %d %s có thể ghép %s
E_STR_ALLROLE_attack	全体上阵武将武力增加%d	Võ Lực toàn thể Võ Tướng xuất trận tăng %d
E_STR_ALLROLE_defence	全体上阵武将武防增加%d	Võ Phòng toàn thể Võ Tướng xuất trận tăng %d
E_STR_ALLROLE_mdefence	全体上阵武将谋防增加%d	Mưu Phòng toàn thể Võ Tướng xuất trận tăng %d
E_STR_ALLROLE_miss	全体上阵武将闪避增加%d	Né Tránh toàn thể Võ Tướng xuất trận tăng %d
E_STR_ALLROLE_block	全体上阵武将格挡增加%d	Đỡ toàn thể Võ Tướng xuất trận tăng %d
E_STR_ALLROLE_critdamage	全体上阵武将暴击增加%d	Bạo Kích toàn thể Võ Tướng xuất trận tăng %d
E_STR_YOU_HAVE_NOT_ENOUGH_GOLD_TO_DESPOIL	你的赔偿金不足%d金币，无法掠夺！	Bồi thường Vàng của ngươi không đủ %d Vàng, không thể cướp !
E_STR_DESPOIL_SUCCESS	掠夺成功！您得到%d金币！	Cướp thành công ! Ngươi nhận được %d Vàng ! 
E_STR_DESPOIL_FAILURE	掠夺失败！您失去了%d金币！	Cướp thất bại ! Ngươi đã mất đi %d Vàng !
E_STR_HONOR_NOT_ENOUGH	军功不足	Quân Công không đủ 
E_STR_NOT_ENOUGH_GOLD	金币不足	Vàng không đủ
E_STR_CASH_NOT_ENOUGH	元宝不足	KNB không đủ 
E_STR_REP_NOT_ENOUGH	声望不足	Danh Vọng không đủ 
E_STR_FOOD_NOT_ENOUGH	粮草不足	Lúa không đủ 
E_STR_STARS_NOT_ENOUGH	星星不足	Sao không đủ
E_STR_SPEND_CASH_FOR_CAPTURE	确认花费%d元宝占领金矿？	Dùng %d KNB chiếm Ngân Khoáng ?
E_STR_SPEND_CASH_FOR_DESPOIL	确认花费%d元宝掠夺金矿？	Dùng %d KNB cướp Ngân Khoáng ?
E_STR_SPEND_NO_CASH_FOR_CAPTURE	少侠！元宝不足，无法购买占领次数！	KNB không đủ, không thể mua số lần chiếm Ngân Khoáng !
E_STR_SPEND_NO_CASH_FOR_DESPOIL	少侠！元宝不足，无法购买掠夺次数！	KNB không đủ, không thể mua số lần cướp Ngân Khoáng !
E_STR_GOLDMINE_DISTRICT	%s（%d区）	%s  (Server %d)
E_STR_GOLDMINE_DISTRICT_1	（一区）	(Server 1)
E_STR_GOLDMINE_DISTRICT_2	（二区）	(Server 2)
E_STR_GOLDMINE_DISTRICT_3	（三区）	(Server 3)
E_STR_GOLDMINE_DISTRICT_4	（四区）	(Server 4)
E_STR_GOLDMINE_DISTRICT_5	（五区）	(Server 5)
E_STR_GOLDMINE_DISTRICT_6	（六区）	(Server 6)
E_STR_GOLDMINE_DISTRICT_7	（七区）	(Server 7)
E_STR_GOLDMINE_DISTRICT_8	（八区）	(Server 8)
E_STR_GOLDMINE_DISTRICT_9	（九区）	(Server 9)
E_STR_GOLDMINE_DISTRICT_10	（十区）	(Server 10)
E_STR_THIS_GOLDMINE_IS_WARFREE	此座金矿当前免战	Hiện tại miễn chiến Ngân Khoáng này 
E_STR_EMPTY_GOLDMINE	无人占领	Vô chủ 
E_STR_GOLDMINE_HAVE_BEEN_CAPTURED_AHEAD	此座金矿已被人抢先占领!	Ngân Khoáng đã bị chiếm trước rồi !
E_STR_GOLDMINE_HAVE_BEEN_LEFT_AHEAD	此座金矿已被撤军！（无法完成掠夺）	Ngân Khoáng đã bị rút quân ! (không thể hoàn thành cướp)
E_STR_OCCUPY_FAILDED_NO_PIT	无空余矿坑，占领金矿失败	Không có Ngân Khoáng trống, chiếm Ngân Khoáng thất bại 
E_STR_OCCUPY_ACTION_FAILED	占领/掠夺/随机占领失败	Chiếm/Cướp/Tùy cơ chiếm thất bại 
E_STR_LEAVE_ACTION_FAILED	撤军失败	Rút quân thất bại
E_STR_MATERIAL_MAX	道具已达最高级，更高等级敬请期待！	Vật phẩm đã đạt cấp cao nhất, cấp cao hơn xin hãy chờ nhé !
E_STR_SPEND_CASH_TO_REPICK_CARD	是否花费%d元宝重新选牌？	Đồng ý dùng %d KNB chọn lại bài khác?
E_STR_REPICK_CARD_NO_CASH	重新选牌需要%元宝，当前元宝不足	Chọn lại bài khác cần % KNB, hiện tại KNB không đủ
E_STR_NO_FOSTER	您当前没有培养丹	Hiện tại ngươi không có Linh Đan 
E_STR_CHAT_LEGION_CHAT_NOT_30_WORD	亲，聊天汉字不能超过%d个哦	Thân, nội dung chat không được vượt quá %d từ nhé
E_STR_CARD_MASTER_WIN	胜+1	Thắng +1
E_STR_CARD_MASTER_LOSE	败+1	Bại +1
E_STR_CARD_MASTER_DRAW	平+1	Hòa +1
E_STR_CARD_MASTER_NOT_ENOUGH_CARD	请选择五张卡牌进行战斗	Hãy chọn 5 thẻ tiến hành chiến đấu
E_STR_CARD_MASTER_NO_CASH_COUNT	今日元宝刷新次数已用完，请明天再来	Đã dùng hết số lần KNB làm mới hôm nay, mời ngày mai quay lại 
E_EXCHANGE_MATERIAL_NO_ENOUGH	%s不足	%s không đủ
E_STR_COIN_NOT_ENOUGH	古币不足	Tiền Cổ không đủ 
E_STR_MOPUP_COOL_TIME	扫荡冷却时间	Thời gian chờ càn quét 
E_STR_CARD_MASTER_NOT_ENOUGH_SCORE	积分不够	Điểm không đủ
E_STR_BAG_SHOP_EXCHANGE_STR	兑换	Đổi
E_STR_GAIN_MATERIAL	得到%sX%d	Nhận được %s X %d
E_STR_ACHIEVEMENT_CHEST	%d级成就宝箱	Nhiệm Vụ Bảo Rương cấp %d
E_STR_GAIN_RES	获得%d%s	Nhận được %d %s
E_STR_FINISH	已完成	Đã hoàn thành
E_STR_INDENT_FINISH	订单素材已满，请返回订单界面。	Vật liệu nhiệm vụ đã đầy, mời quay lại giao diện nhiệm vụ. 
E_STR_INDENT	订单%d	Nhiệm vụ %d
E_STR_MOPUP_ALLAWARD	本次获得以下材料	Lần này nhận được vật liệu dưới đây
E_STR_MAX_LIMIT_INFO	当前已达最高级	Đầy cấp
E_STR_FOOD_DESC	人是铁，饭是钢，一顿不吃饿的慌！要打胜仗还是多屯粮吧！	Người là thiết, cơm là thép, một bữa không ăn đói đến kinh hoàng! Muốn đánh thắng trận hãy trữ thêm lương nhé !
E_STR_PAWN_GO_LIMIT	前进次数耗尽，请休息一会再来	Số lần lên trước đã hết, hãy nghỉ ngơi một lúc rồi quay lại
E_STR_PAWN_MATERIAL_FULL	%s%d/%d（完成）	%s%d/%d (hoàn thành)
E_STR_SOULELITEFB_TIMES_OVER	将令不足！	Tướng Lệnh không đủ !
E_STR_HONORELITEFB_TIMES_OVER	兵令不足！	Binh Lệnh không đủ !
E_STR_ADDITION_SOULXP	每张增加经验：%d	Mỗi tấm tăng Exp: %d
E_STR_CONTINUE_SOLICIT	继续招募	Tiếp tục
E_STR_CONTINUE_EXCHANGE	继续兑换	Tiếp tục đổi
E_STR_OPEN_SPEED	君主等级%d级开启加速战斗	Quân Chủ cấp %d mở tăng tốc chiến đấu 
E_STR_OPEN_SKIP	君主等级%d级开启跳过战斗	Quân Chủ cấp %d mở bỏ qua chiến đấu 
E_STR_FIRST_OPEN_SKIP	只有挑战成功的关卡才能跳过战斗	Chưa vượt ải này, không thể bỏ qua chiến đấu
E_STR_REFRESH_PANEL	换一批	Đổi
E_STR_ONE_HUNDRED_MILLION	%d亿	%d Ức
E_STR_BS_CONFIRM_HAS_NUM_FOOD	已有数量：%s	Hiện có: %s
E_STR_SOULEXP_OVER	炼魂经验超过上限%d，是否继续？	Exp luyện hồn vượt quá giới hạn %d, đồng ý tiếp tục ?
E_STR_BAG_SHOP_CANNOT_SELL	无法出售	Không thể bán
E_STR_COIN	古币	Tiền Cổ
E_STR_NO_FOSTER_AND_GO_TO_SHOP	培养丹不足，是否前往购买？	Linh Đan không đủ, đi mua ?
E_STR_YET_BUY	已购买	Đã mua
E_STR_YOUR_GAIN_REP	你获得了%d声望	Bạn nhận được %d Danh Vọng 
